source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0035,1,2.438944101333618,2.438944101333618,7.554218292236328,7.554218292236328,0.1853596568107605,50,0.001,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0023,1,2.436790227890014,2.436790227890014,7.56317663192749,7.56317663192749,0.1858314424753189,25,0.002,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0019,1,2.429274797439575,2.429274797439575,7.582040786743164,7.582040786743164,0.1855116188526153,25,0.002,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0045,1,2.42127537727356,2.42127537727356,7.509016036987305,7.509016036987305,0.1848920583724975,50,0.002,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0041,1,2.380200862884521,2.380200862884521,7.499421119689941,7.499421119689941,0.184788167476654,50,0.002,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0043,1,2.2663142681121826,2.2663142681121826,7.638911247253418,7.638911247253418,0.1902973651885986,50,0.002,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0061,1,2.259024143218994,2.259024143218994,7.402934074401855,7.402934074401855,0.1896986067295074,100,0.001,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0047,1,2.254937171936035,2.254937171936035,7.579190731048584,7.579190731048584,0.1901506036520004,50,0.002,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0057,1,2.219877958297729,2.219877958297729,7.371938705444336,7.371938705444336,0.1903762519359588,100,0.001,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0073,1,2.164388418197632,2.164388418197632,7.364110946655273,7.364110946655273,0.1925771832466125,200,0.0005,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0077,1,2.1599655151367188,2.1599655151367188,7.271986484527588,7.271986484527588,0.1922550201416015,200,0.0005,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0069,1,2.132502555847168,2.132502555847168,7.350984573364258,7.350984573364258,0.1936250329017639,100,0.002,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0063,1,2.0863349437713623,2.0863349437713623,7.368162155151367,7.368162155151367,0.1874907910823822,100,0.001,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0093,1,2.081212043762207,2.081212043762207,7.295157432556152,7.295157432556152,0.1926043629646301,200,0.002,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
