image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,gain_rel_mse_mean,gain_rel_mse_std,gain_corr_mean,gain_corr_std,boundary_status,censor_type,log_window_observed,sampled_min_window_frames,sampled_max_window_frames,log_window_lower,log_window_upper,predicted_log_window,predicted_window_frames,interval_satisfied,hinge_residual_log10
32,1024,random_binary,3.0,0.5,0.0015,3,0.1425114693120122,0.0070520108950579,0.5936785191297531,0.0164662929275096,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,-0.6368911103494252,0.23073256266175007,True,0.0
32,1024,random_uniform,0.0003,0.05,0.045,92,2.9089828160522305e-05,8.699393831922138e-06,0.942945208400488,0.0372736070041042,interior,exact,1.9637878273455553,3,1024,1.9637878273455553,1.9637878273455553,1.9182954275771618,82.85055606001714,False,-0.04549239976839359
32,1024,random_uniform,0.0003,0.1,0.02,41,5.034556488681119e-05,7.847233389758748e-06,0.9747537653893232,0.0163239315670533,interior,exact,1.6127838567197355,3,1024,1.6127838567197355,1.6127838567197355,1.6182450292553052,41.51882260571037,True,0.005461172535569769
32,1024,random_uniform,0.0003,0.15,0.013,27,7.312177842777601e-05,9.76725498734093e-06,0.983621021732688,0.0105248763066409,interior,exact,1.4313637641589874,3,1024,1.4313637641589874,1.4313637641589874,1.442726797910573,27.71576037866561,True,0.011363033751585538
32,1024,random_uniform,0.0003,0.3,0.006,12,0.000144424663631,1.791051791967419e-05,0.9918321054428816,0.0053204958711522,interior,exact,1.0791812460476249,3,1024,1.0791812460476249,1.0791812460476249,1.1426763995887161,13.889173389622206,False,0.06349515354109125
32,1024,random_uniform,0.0003,0.5,0.004,8,0.0002340673217986,2.6061875274733e-05,0.9951528124511242,0.0031604711471944,interior,exact,0.9030899869919435,3,1024,0.9030899869919435,0.9030899869919435,0.9215495795096423,8.347368372633941,True,0.018459592517698797
32,1024,random_uniform,0.001,0.05,0.02,41,4.691275682944252e-05,7.640984312879349e-06,0.9664939232170582,0.0225481337323412,interior,exact,1.6127838567197355,3,1024,1.6127838567197355,1.6127838567197355,1.6678586955211907,46.54346324720261,False,0.05507483880145525
32,1024,random_uniform,0.001,0.1,0.013,27,8.796301904112624e-05,1.0463316271421371e-05,0.9841024782508612,0.0107532532880717,interior,exact,1.4313637641589874,3,1024,1.4313637641589874,1.4313637641589874,1.3678082971993342,23.324282731622812,False,-0.0635554669596532
32,1024,random_uniform,0.001,0.15,0.009,18,0.000131389716671,1.3548063260806608e-05,0.9894479364156724,0.0071201554258395,interior,exact,1.255272505103306,3,1024,1.255272505103306,1.255272505103306,1.1922900658546018,15.570052102223999,False,-0.06298243924870417
32,1024,random_uniform,0.001,0.3,0.004,8,0.0002563118873695,2.653887995305348e-05,0.9948234893381596,0.0034321581209888,interior,exact,0.9030899869919435,3,1024,0.9030899869919435,0.9030899869919435,0.8922396675327452,7.802605823497621,True,-0.010850319459198343
32,1024,random_uniform,0.001,0.5,0.0025,5,0.0004153043028054,4.386712986543302e-05,0.9969026073813438,0.0019669829418763,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6711128474536713,4.689352148476925,True,-0.027857156882347578
32,1024,random_uniform,0.003,0.05,0.013,27,7.66449727507279e-05,9.826100731912014e-06,0.9719384461641312,0.015432827512209,interior,exact,1.4313637641589874,3,1024,1.4313637641589874,1.4313637641589874,1.4393378598494824,27.500327119913823,True,0.007974095690495009
32,1024,random_uniform,0.003,0.1,0.006,12,0.0001510302095084,1.7788418360062454e-05,0.9861750025302172,0.0076933214995853,interior,exact,1.0791812460476249,3,1024,1.0791812460476249,1.0791812460476249,1.1392874615276258,13.781213519720966,False,0.060106215480000946
32,1024,random_uniform,0.003,0.15,0.004,8,0.0002227922909696,2.5593909766445986e-05,0.9908947944641112,0.0050996512438406,interior,exact,0.9030899869919435,3,1024,0.9030899869919435,0.9030899869919435,0.9637692301828935,9.199606050179275,False,0.06067924319094997
32,1024,random_uniform,0.003,0.3,0.0025,5,0.0004313881127018,4.363560779821945e-05,0.995499337092042,0.0024224952164529,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6637188318610369,4.610190079631121,True,-0.035251172474981995
32,1024,random_uniform,0.003,0.5,0.0015,3,0.000684675100274,6.972707869726301e-05,0.9972490835934876,0.0014364826902402,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.44259201178196295,2.770715994610412,True,0.0
32,1024,random_uniform,0.01,0.05,0.009,18,0.0001393533402733,1.3439490873356654e-05,0.964527115225792,0.0133101391513328,interior,exact,1.255272505103306,3,1024,1.255272505103306,1.255272505103306,1.188901127793511,15.44902684376133,False,-0.06637137730979492
