correction,sigma_a,rho,object,projected_mean_energy,projected_covariance_trace,clean_floor_raw,clean_floor_mean_gain_cross,exact_projected_total,measured_raw_total_mean,exact_identity_abs_error,scalar_qdelta_proxy,scalar_proxy_over_exact_gain_energy,n_seeds
agc,0.05,0.3,7,0.31773041324619505,1.1477262283430305,0.526752882227022,-0.009799483161575659,1.9824100406546719,1.9824101309423365,9.028766467800153e-08,1.485432758174944,1.0136313255669271,5
scgi_proxy,0.05,0.3,7,0.31758866777191325,1.1475955016910304,0.526752882227022,-0.010219723277112522,1.9817173284128533,1.98171729446786,3.394499326070388e-08,1.4860526316022635,1.0142428935380656,5
agc,0.05,0.3,8,0.2921007320100586,1.0746622320150578,0.5043874577514778,0.02206847384565737,1.8932188956222515,1.8932192401506582,3.4452840669274565e-07,1.3897325851049322,1.0168058556490076,5
scgi_proxy,0.05,0.3,8,0.2926267283274879,1.0745009513432904,0.5043874577514778,0.02232037485966004,1.8938355122819162,1.893835463113718,4.916819817957219e-08,1.3903678263307544,1.0169992510615926,5
agc,0.05,0.3,9,0.24270917855847826,0.8730743645521132,0.5066149518944131,-0.004480328515526588,1.6179181664894782,1.6179182048134824,3.832400419234716e-08,1.1312483778454432,1.0138600670625944,5
scgi_proxy,0.05,0.3,9,0.24315076056138954,0.8730246331281742,0.5066149518944131,-0.004622993412146739,1.6181673521718303,1.6181673079908259,4.418100441050399e-08,1.1320799587718597,1.014249162965081,5
agc,0.05,1.0,0,0.19541544887914364,0.7691129555532417,0.4923020115030484,-0.02625106050925946,1.4305793554261743,1.4305791560115313,1.994146430206456e-07,0.9867440269053465,1.0230326264844785,5
scgi_proxy,0.05,1.0,0,0.19523306647062022,0.7688329319110375,0.4923020115030484,-0.025933609203242242,1.4304344006814638,1.4304343385625813,6.211888248230935e-08,0.9865527583189758,1.0233249175627661,5
agc,0.05,1.0,1,0.201127872359237,0.7665467799558316,0.4980248860946312,0.027463565030311905,1.4931631034400117,1.4931631090802573,5.64024560389953e-09,0.9861279021805891,1.0190696840320999,5
scgi_proxy,0.05,1.0,1,0.20105642868039528,0.7661532907943236,0.4980248860946312,0.027181072714653875,1.492415678284004,1.492415727650347,4.936634301344611e-08,0.9859312965058779,1.0193562747087843,5
agc,0.05,1.0,2,0.22278748080341632,0.8763274977851426,0.47856935164185194,-0.016999762074196567,1.5606845681562143,1.5606846267507148,5.8594500584874254e-08,1.123649394833147,1.0223219742452188,5
scgi_proxy,0.05,1.0,2,0.22309428066312337,0.8763988860693184,0.47856935164185194,-0.016940451792542322,1.5611220665817513,1.5611220553092164,1.1272534905515386e-08,1.1240633519465115,1.0223468284819717,5
agc,0.05,1.0,3,0.21753091969743105,0.8482792895532114,0.5095086583081527,-0.025795326849108614,1.5495235407096866,1.5495234068011676,1.3390851894001798e-07,1.0883984100626904,1.0211934550973474,5
