estimator,sigma_a,rho,seed,object,S1_true,S1_hat,gamma,gamma_minus_1_sq,min_pair_sum,n_denominator_clipped,delta_mean,delta_second_moment,rel_mse_raw,rel_mse_aligned,coefficient_risk_raw,risk_f7_component,risk_gauge_component,risk_normalization_increment_cross,risk_decomposition_sum,risk_decomposition_abs_error,coefficient_identity_max_abs_over_S1
median_pair_sum,0.5,0.3,2,0,148.97826256789267,134.48018646240234,0.9026832783817489,0.009470544306524184,32.40244388580322,0,0.06519278409709164,0.1784489725914568,6.836438222202879,0.9004001718852556,6.836437688828237,6.82031580045062,0.009470544306524184,0.006650594480536117,6.836436939237681,7.495905565545885e-07,6.557113888629374e-08
true_s1,0.5,0.3,2,1,144.4302321523428,144.4302321523428,1.0,0.0,31.382043838500977,0,0.06519278409709164,0.1784489725914568,8.31075920698826,0.9033483793632111,8.310758501955682,8.3107579641435,0.0,-0.0,8.3107579641435,5.378121823440551e-07,8.314638428046423e-08
median_pair_sum,0.5,0.3,2,1,144.4302321523428,130.12893295288086,0.9009812628122266,0.009804710314261346,31.382043838500977,0,0.06519278409709164,0.1784489725914568,6.766414909551584,0.9033483885736939,6.7664152622712885,6.746401021108427,0.009804710314261346,0.010209137453231818,6.76641486887592,3.9339536871477176e-07,7.681817805348481e-08
true_s1,0.5,0.3,2,2,145.70348731148988,145.70348731148988,1.0,0.0,31.678688049316406,0,0.06519278409709164,0.1784489725914568,9.56462020449971,0.9208648786701512,9.564619980273982,9.564619533419192,0.0,-0.0,9.564619533419192,4.468547896152586e-07,1.7423797195550476e-07
median_pair_sum,0.5,0.3,2,2,145.70348731148988,131.73605346679688,0.9041379578319018,0.009189531128638245,31.678688049316406,0,0.06519278409709164,0.1784489725914568,7.844196616424702,0.9208648760445924,7.84419637825791,7.818745980286236,0.009189531128638245,0.016260993191361456,7.844196504606235,1.2634832611407854e-07,1.3333781190440638e-07
true_s1,0.5,0.3,2,3,165.0899476800114,165.0899476800114,1.0,0.0,35.9395866394043,0,0.06519278409709164,0.1784489725914568,9.222528472819008,0.9297861173053531,9.22252782017961,9.222527537432052,0.0,-0.0,9.222527537432052,2.8274755869972523e-07,7.362241639453518e-08
median_pair_sum,0.5,0.3,2,3,165.0899476800114,148.98683166503906,0.90245853099315,0.009514338176014282,35.9395866394043,0,0.06519278409709164,0.1784489725914568,7.549982461926577,0.929786113427809,7.5499825937811025,7.511116015346287,0.009514338176014282,0.029352267095613407,7.549982620617915,2.6836812466735083e-08,7.4984006943326e-08
true_s1,0.5,0.3,2,4,92.1666671433486,92.1666671433486,1.0,0.0,20.037659645080566,0,0.06519278409709164,0.1784489725914568,7.618725043116229,0.8982940057978699,7.618724905345358,7.6187253264533545,0.0,-0.0,7.6187253264533545,4.211079964733244e-07,9.892242907549467e-08
median_pair_sum,0.5,0.3,2,4,92.1666671433486,82.93447494506836,0.8998315499038146,0.010033718394671976,20.037659645080566,0,0.06519278409709164,0.1784489725914568,6.191790144141839,0.8982939959784667,6.191789917040978,6.16885765558657,0.010033718394671976,0.012898009576953574,6.191789383558195,5.334827827482846e-07,7.313037016461741e-08
true_s1,0.5,0.3,2,5,197.74866265058517,197.74866265058517,1.0,0.0,42.98353576660156,0,0.06519278409709164,0.1784489725914568,10.795449509852949,0.9313313520444254,10.795449432581254,10.795450079923182,0.0,-0.0,10.795450079923182,6.473419276176173e-07,1.2986653170300627e-07
