config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_binary_prior_loss,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0035,35,35,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.08,0.0,2.4543354511260986,8.059581756591797,0.22186148166656494,0.004685699939727783,0.9740428844495653,2.866056442260742,0.0008796745096333325,0.45411795377731323,0.17423266172409058,0.00038439128547906876,0.9551447033882141,0.9547603130340576,0.3182445764541626,0.08190224319696426,0.022578228265047073,0.4838709533214569,0.38140869140625,3.0731639862060547,0.00022778974380344152,0.000651884765829891,0.0312204472720623,0.0,0.0003881772863678634,0.04313454031944275
cfg0036,36,36,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0,3.5720882415771484,9.906661033630371,0.27670910954475403,0.004685699939727783,0.9740428844495653,9.937814712524414,0.0025878199376165867,0.3809989392757416,0.19560010731220245,0.0,0.9310526847839355,0.9310526847839355,0.2871500253677368,0.08440834283828735,0.03394665941596031,0.4838709533214569,0.24517822265625,2.89455246925354,0.00022800818260293454,0.002359811682254076,0.12364675849676132,0.0,0.0025861039757728577,0.09285210072994232
cfg0037,37,37,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,3.231943368911743,9.579721450805664,0.25727537274360657,0.004685699939727783,0.9740428844495653,8.577956199645996,0.0019926559180021286,0.37792474031448364,0.17882519960403442,0.0,0.9010455012321472,0.9010455012321472,0.28911885619163513,0.07562790811061859,0.025742873549461365,0.4516128897666931,0.27313232421875,2.9886937141418457,0.00022793561220169067,0.0017647204222157598,0.08416084945201874,0.0,0.0019313078373670578,0.078708216547966
cfg0038,38,38,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0,3.044370174407959,9.35188102722168,0.23939251899719238,0.004685699939727783,0.9740428844495653,7.025166034698486,0.002090700902044773,0.37537163496017456,0.16340133547782898,0.0,0.8865397572517395,0.8865397572517395,0.27320319414138794,0.0654447004199028,0.02036788873374462,0.4193548262119293,0.31011962890625,2.961294412612915,0.00022785727924201638,0.0018628435209393501,0.05524617061018944,0.0,0.001380228903144598,0.07597389072179794
cfg0039,39,39,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0,2.960447311401367,8.96967887878418,0.22676387429237366,0.004685699939727783,0.9740428844495653,6.006536960601807,0.001666307682171464,0.39421218633651733,0.15424121916294098,0.0,0.8955036997795105,0.8955036997795105,0.2611570954322815,0.059115469455718994,0.017694935202598572,0.4516128897666931,0.28924560546875,2.9291200637817383,0.00022781752340961248,0.0014384901151061058,0.0303427092730999,0.0,0.0010940255597233772,0.06665338575839996
cfg0040,40,40,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.02,0.0,2.3182506561279297,8.177053451538086,0.23645979166030884,0.004685699939727783,0.9740428844495653,2.8944027423858643,0.005045958328992128,0.42451995611190796,0.2277858555316925,0.0,0.9195038676261902,0.9195038676261902,0.4399155080318451,0.16060090065002441,0.045880455523729324,0.35483869910240173,0.61138916015625,3.074970006942749,0.00022758770501241088,0.004818370565772057,0.12067022919654846,0.0,2.287034658365883e-05,0.11035514622926712
cfg0041,41,41,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.04,0.0,2.927650213241577,9.223602294921875,0.27940234541893005,0.004685699939727783,0.9740428844495653,2.927650213241577,0.002484658034518361,0.4266231656074524,0.2174108624458313,0.0,1.0,1.0,0.32910633087158203,0.11200901865959167,0.042711418122053146,0.5483871102333069,0.237060546875,2.8942127227783203,0.00022803783940616995,0.0022566202096641064,0.07438527047634125,0.0,0.0017706817016005516,0.08538947999477386
cfg0042,42,42,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.06,0.0,2.8778252601623535,8.207967758178711,0.26062533259391785,0.004685699939727783,0.9740428844495653,2.8835055828094482,0.0012130459072068334,0.4756985902786255,0.2092486321926117,0.0,1.0,1.0,0.3585207462310791,0.10941670089960098,0.03510206192731857,0.5483871102333069,0.30609130859375,3.1500282287597656,0.00022798891586717218,0.000985056976787746,0.04637286067008972,0.0,0.0013184143463149667,0.04858596622943878
cfg0043,43,43,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.08,0.0,2.793771743774414,7.723977565765381,0.24558663368225098,0.004685699939727783,0.9740428844495653,2.8242106437683105,0.0012225187383592129,0.49938642978668213,0.199215829372406,0.0,1.0,1.0,0.3506770431995392,0.10127878189086914,0.03052883967757225,0.5483871102333069,0.35107421875,3.1688456535339355,0.00022796244593337178,0.000994556350633502,0.028305891901254654,0.0,0.0010356821585446596,0.04423370212316513
cfg0044,44,44,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0,3.493318557739258,10.525684356689453,0.2900821268558502,0.004685699939727783,0.9740428844495653,9.757969856262207,0.0037882926408201456,0.3574119806289673,0.22251956164836884,0.0,0.9484903812408447,0.9484903812408447,0.31101682782173157,0.10800608992576599,0.046331148594617844,0.4516128897666931,0.25274658203125,2.855863094329834,0.00022825910127721727,0.0035600336268544197,0.13187465071678162,0.0,0.003985071554780006,0.1123839020729065
cfg0045,45,45,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,3.8275015354156494,10.394953727722168,0.28941988945007324,0.004685699939727783,0.9740428844495653,8.284603118896484,0.0021092442329972982,0.3642461895942688,0.20346665382385254,0.0,0.9453788995742798,0.9453788995742798,0.30265969038009644,0.0899093821644783,0.03548730909824371,0.4516128897666931,0.254638671875,2.997612953186035,0.0002282251516589895,0.0018810189794749022,0.1024937629699707,0.0,0.0035613765940070152,0.08427627384662628
cfg0046,46,46,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0,3.75524640083313,10.106405258178711,0.2762454152107239,0.004685699939727783,0.9740428844495653,6.809018611907959,0.0016810632077977061,0.36855748295783997,0.18727394938468933,0.0,0.9433038830757141,0.9433038830757141,0.2856670320034027,0.07748238742351532,0.028788650408387184,0.4516128897666931,0.24908447265625,2.986557960510254,0.00022815063130110502,0.001452912576496601,0.0631631463766098,0.0,0.003013763576745987,0.07229970395565033
cfg0047,47,47,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0,3.6139824390411377,9.569684982299805,0.2605038583278656,0.004685699939727783,0.9740428844495653,5.914034843444824,0.001181835657916963,0.3900231122970581,0.17511187493801117,0.0,0.9486279487609863,0.9486279487609863,0.27375584840774536,0.06935540586709976,0.024395160377025604,0.4516128897666931,0.26824951171875,2.9682095050811768,0.0002280604821862653,0.0009537751320749521,0.04133642464876175,0.0,0.00240288651548326,0.05752672255039215
cfg0048,48,48,20240710,stripe_target,1,scgi_ured,32,0.0005,0.4,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.02,0.0,1.2760210037231445,5.465450763702393,0.1898251473903656,0.004685699939727783,0.9740428844495653,2.9172065258026123,0.016520315781235695,0.5115783214569092,0.35109424591064453,0.0,1.0,1.0,0.7121896147727966,0.45590656995773315,0.11573420464992523,0.4193548262119293,0.61981201171875,3.000823497772217,0.00022775128309149295,0.016292564570903778,0.12614402174949646,0.0,0.0001930994330905378,0.2270652949810028
cfg0049,49,49,20240710,stripe_target,1,scgi_ured,32,0.0005,0.4,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.04,0.0,1.720008134841919,6.598829746246338,0.21644774079322815,0.004685699939727783,0.9740428844495653,2.958850622177124,0.006521985866129398,0.49607521295547485,0.26714205741882324,0.0,0.9299576282501221,0.9299576282501221,0.536300003528595,0.247013658285141,0.06492934376001358,0.4193548262119293,0.64251708984375,3.1219711303710938,0.0002277941966895014,0.006294191814959049,0.08130709826946259,0.0,0.0003393637016415596,0.14498040080070496
