source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2515,1,9.851534843444824,9.851534843444824,7.590662956237793,7.590662956237793,0.1900465786457061,35,0.00045,0.55,0.5,0.14,24,3,0.05,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2780,1,9.844343185424805,9.844343185424805,7.76864767074585,7.76864767074585,0.1878625452518463,35,0.0005,0.55,0.5,0.14,24,3,0.07,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0600,1,9.842968940734863,9.842968940734863,7.504905700683594,7.504905700683594,0.1852811574935913,32,0.0005,0.55,0.5,0.15,24,3,0.05,nlm,3,0.064,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1940,1,9.83509922027588,9.83509922027588,7.656635761260986,7.656635761260986,0.1892355531454086,34,0.00045,0.6,0.5,0.16,24,3,0.07,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2290,1,9.831963539123535,9.831963539123535,7.4348649978637695,7.4348649978637695,0.1890695989131927,35,0.0004,0.55,0.5,0.14,24,3,0.07,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1570,1,9.83142375946045,9.83142375946045,7.515680313110352,7.515680313110352,0.1900960355997085,34,0.0004,0.55,0.5,0.15,24,3,0.05,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1825,1,9.831315994262695,9.831315994262695,7.558101654052734,7.558101654052734,0.1864742934703827,34,0.00045,0.55,0.5,0.15,24,3,0.06,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0150,1,9.831299781799316,9.831299781799316,7.430898666381836,7.430898666381836,0.1845871061086654,32,0.0004,0.55,0.5,0.16,24,3,0.06,nlm,3,0.064,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2050,1,9.83119297027588,9.83119297027588,7.614190101623535,7.614190101623535,0.1860518455505371,34,0.0005,0.55,0.5,0.14,24,3,0.07,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1835,1,9.831099510192873,9.831099510192873,7.5731520652771,7.5731520652771,0.1879620403051376,34,0.00045,0.55,0.5,0.15,24,3,0.07,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1785,1,9.829646110534668,9.829646110534668,7.502667903900146,7.502667903900146,0.1881423890590667,34,0.00045,0.55,0.5,0.14,24,3,0.05,nlm,3,0.062,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2770,1,9.828850746154783,9.828850746154783,7.716667175292969,7.716667175292969,0.1863179802894592,35,0.0005,0.55,0.5,0.14,24,3,0.06,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1065,1,9.82653522491455,9.82653522491455,7.418814659118652,7.418814659118652,0.1882482171058654,33,0.00045,0.55,0.5,0.14,24,3,0.06,nlm,3,0.062,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0375,1,9.826268196105955,9.826268196105955,7.376311302185059,7.376311302185059,0.1846063733100891,32,0.00045,0.55,0.5,0.15,24,3,0.07,nlm,3,0.064,5,6,0.05,0.015
