sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,points,rho_min,rho_max
0.3,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.03151749726845843,-6.416111739612695,9,0.001,10.0
0.3,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.11942230232531692,-2.393223952121186,9,0.001,10.0
0.3,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,1.6976980503719972,0.06033690888649801,9,0.001,10.0
0.3,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.16523775259853046,-15.625025033791697,9,0.001,10.0
0.3,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.007278048565382278,-14.665801106858824,9,0.001,10.0
0.3,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.04748816553579971,-8.798139813981823,9,0.001,10.0
0.3,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.11555287166892292,-2.722797234706963,9,0.001,10.0
0.3,scgi_proxy,srht_paired,hadamard_paired,0.006831235591020046,observed,0.14037229566977238,-0.09124372427358196,9,0.001,10.0
0.5,agc,random_uniform,hadamard_paired,,not_reached,-0.03522833252990587,-9.38751652414244,9,0.001,10.0
0.5,agc,random_binary,hadamard_paired,1.7725064158431199,observed,0.018857499567738856,-8.295622812984051,9,0.001,10.0
0.5,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.007832408004080804,-2.8316505535122083,9,0.001,10.0
0.5,agc,dct_paired,hadamard_paired,,not_reached,-0.029053888760971702,-2.224611135097092,9,0.001,10.0
0.5,agc,srht_paired,hadamard_paired,0.001,left_censored,3.0190636882720376,0.04369580160560815,9,0.001,10.0
0.5,none,random_uniform,hadamard_paired,,not_reached,-0.047998150366764136,-9.67374550711579,9,0.001,10.0
0.5,none,random_binary,hadamard_paired,2.5722475799318727,observed,0.009225460247591855,-9.413899007221572,9,0.001,10.0
0.5,none,fourier_fourstep,hadamard_paired,2.863613702630078,observed,0.004867175951597247,-2.655382208516606,9,0.001,10.0
0.5,none,dct_paired,hadamard_paired,,not_reached,-0.032140021801311036,-1.1102685200464855,9,0.001,10.0
0.5,none,srht_paired,hadamard_paired,0.001,left_censored,0.15383626732204725,0.030039520451124346,9,0.001,10.0
0.5,pairwise,dct_paired,hadamard_paired,,not_reached,-0.04935805142790528,-2.8502019612970493,9,0.001,10.0
0.5,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.07833211346515156,0.025000590804028278,9,0.001,10.0
0.5,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.06638962705661555,-12.663677567508488,9,0.001,10.0
0.5,reference_k2,random_binary,hadamard_paired,0.9876893904696464,observed,0.002844505001881714,-12.583897746202211,9,0.001,10.0
0.5,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.010911108426393312,-8.279221972962876,9,0.001,10.0
0.5,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.04528314288578272,-2.946015386167339,9,0.001,10.0
0.5,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.05162570179322401,0.023954567502212143,9,0.001,10.0
0.5,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.049028807013931086,-12.218084220455678,9,0.001,10.0
0.5,reference_k32,random_binary,hadamard_paired,,not_reached,-0.01634853485016663,-11.111953267908584,9,0.001,10.0
0.5,reference_k32,fourier_fourstep,hadamard_paired,1.9436794764722116,observed,0.011197914132285547,-6.5992867097508,9,0.001,10.0
