sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.15,reference_k8,srht_paired,hadamard_paired,3.0,left_censored,0.04081459402422283,0.03757596839744437,2
0.15,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.3681201588450076,-0.3858036079068068,2
0.15,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.32169465316099277,-0.33929349593585734,2
0.15,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.28574168069973993,-0.30294949491744205,2
0.15,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.32450891359750855,-0.338603653057973,2
0.15,scgi_frozen,srht_paired,hadamard_paired,3.0,left_censored,0.41231765590425695,0.3950844468330956,2
0.15,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.6591771344429151,-0.7007838854736921,2
0.15,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.13743246895968042,-0.18047395036670366,2
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.19944653770652288,-0.23912239887197906,2
0.15,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.4689094098127491,-0.48818320556379113,2
0.15,scgi_proxy,srht_paired,hadamard_paired,3.0,left_censored,0.056923641761956745,0.05351355353620946,2
0.3,agc,random_uniform,hadamard_paired,,not_reached,-0.119165600788806,-0.1274942464391291,2
0.3,agc,random_binary,hadamard_paired,3.0,left_censored,0.03641380452059195,0.027815141936910592,2
0.3,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.043449107038199486,-0.051423350124508715,2
0.3,agc,dct_paired,hadamard_paired,,not_reached,-0.10467101857691219,-0.10954317561098215,2
0.3,agc,srht_paired,hadamard_paired,3.0,left_censored,0.09084660087826357,0.08650252235438138,2
0.3,none,random_uniform,hadamard_paired,,not_reached,-0.1699863096412333,-0.18069067331253486,2
0.3,none,random_binary,hadamard_paired,,not_reached,-0.010612229535572837,-0.02171457224678619,2
0.3,none,fourier_fourstep,hadamard_paired,,not_reached,-0.020203521277665004,-0.030284948727754113,2
0.3,none,dct_paired,hadamard_paired,,not_reached,-0.12761044460546245,-0.13350208173679512,2
0.3,none,srht_paired,hadamard_paired,3.0,left_censored,0.033834275426732674,0.031967261824991766,2
0.3,pairwise,dct_paired,hadamard_paired,,not_reached,-0.1320325660470676,-0.13880619513238024,2
0.3,pairwise,srht_paired,hadamard_paired,3.0,left_censored,0.026034846078083262,0.02410539127156497,2
0.3,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.22825917569275767,-0.2442285351342104,2
