condition,rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
nonideal,0.001,0.05,hadamard_paired,reference_k32,39.46784986232185,2.0582115264958385,0.0012944062169874921,0.00017879095679783547,2048,65,2113
nonideal,0.001,0.05,srht_paired,reference_k8,39.03382956433791,2.100872655335169,0.001431822556193002,0.00020712996856308137,2048,257,2305
nonideal,0.001,0.05,hadamard_paired,reference_k8,38.938713735992515,2.122710316904555,0.00146479275348059,0.00022206231174369488,2048,257,2305
nonideal,0.001,0.05,dct_paired,reference_k32,36.73924187954946,2.0608951841242344,0.0024258400872383622,0.00033355183388711915,2048,65,2113
nonideal,0.001,0.05,dct_paired,reference_k8,36.112443041342395,2.12922747233504,0.00280840770048557,0.00043069245313389346,2048,257,2305
nonideal,0.001,0.05,srht_paired,reference_k2,33.6428444697773,2.1972130738562754,0.0049702033858560766,0.000826825056145231,2048,1025,3073
nonideal,0.001,0.05,hadamard_paired,reference_k2,33.639999281821254,2.1985216535156984,0.004972049855837748,0.0008173557486555927,2048,1025,3073
nonideal,0.001,0.05,dct_paired,reference_k2,30.689143395300526,2.1904688817323756,0.009805051479010783,0.0015898012835499507,2048,1025,3073
nonideal,0.001,0.05,fourier_fourstep,reference_k8,20.04823881732432,1.701059691288966,0.11233318381929383,0.005108155883241047,2048,257,2305
nonideal,0.001,0.05,fourier_fourstep,reference_k32,20.037274726639197,1.7017239755624123,0.11258275558623097,0.0042706199941256314,2048,65,2113
nonideal,0.001,0.05,fourier_fourstep,reference_k2,19.716548098602455,1.7107288467567887,0.12122281158782916,0.004884224919214493,2048,1025,3073
nonideal,0.001,0.05,random_binary,reference_k8,15.265003011104566,1.641628127636676,0.33775046999571595,0.010353733778391747,2048,257,2305
nonideal,0.001,0.05,random_binary,reference_k2,15.254553961049407,1.6360269220854542,0.3385604139824698,0.010258074300534608,2048,1025,3073
nonideal,0.001,0.05,random_binary,reference_k32,15.237726544818218,1.6377349323575388,0.33987358063611667,0.01023952596313487,2048,65,2113
nonideal,0.001,0.05,random_uniform,reference_k8,15.190912692951795,1.6552556402870722,0.3436476100425534,0.013095957127770043,2048,257,2305
nonideal,0.001,0.05,random_uniform,reference_k2,15.178144535964758,1.6592678693912404,0.34465434527005145,0.013001758513152046,2048,1025,3073
nonideal,0.001,0.05,random_uniform,reference_k32,15.136452866807122,1.6689575413018176,0.3480049432997188,0.013745709525097707,2048,65,2113
nonideal,0.001,0.1,srht_paired,reference_k32,36.82579503953773,2.1373811251784507,0.00238234358712077,0.0003558392412127485,2048,65,2113
nonideal,0.001,0.1,srht_paired,reference_k8,36.80172327019486,2.150931960397783,0.002399033628568994,0.00038294874017151504,2048,257,2305
nonideal,0.001,0.1,hadamard_paired,reference_k32,36.78093604809675,2.1282283496974936,0.002406837481744376,0.0003589908049582877,2048,65,2113
nonideal,0.001,0.1,hadamard_paired,reference_k8,36.714857864755025,2.1342897357074255,0.00244479012621085,0.00037136598155410554,2048,257,2305
nonideal,0.001,0.1,dct_paired,reference_k32,33.98928929279336,2.153885659137176,0.004579673045669374,0.0006998370769608194,2048,65,2113
nonideal,0.001,0.1,dct_paired,reference_k8,33.86402036115573,2.16754611703481,0.0047167161036069235,0.0007418864167143424,2048,257,2305
nonideal,0.001,0.1,srht_paired,reference_k2,33.206606323564365,2.2202767520832563,0.005500103508048344,0.0009499604785010861,2048,1025,3073
nonideal,0.001,0.1,hadamard_paired,reference_k2,33.17929058168506,2.2101647781513827,0.005530990725149938,0.0009286095653266509,2048,1025,3073
nonideal,0.001,0.1,dct_paired,reference_k2,30.24517617683584,2.2190861615045523,0.010874359865118503,0.0018590058151600588,2048,1025,3073
nonideal,0.001,0.1,fourier_fourstep,reference_k8,19.99007391134037,1.7149265601852506,0.1138580900577239,0.00538647909324185,2048,257,2305
nonideal,0.001,0.1,fourier_fourstep,reference_k32,19.946883520776378,1.7187176911511166,0.11496535728340838,0.004729780854716995,2048,65,2113
nonideal,0.001,0.1,fourier_fourstep,reference_k2,19.703278637682505,1.7197015674224585,0.1216043285016752,0.005140447214185965,2048,1025,3073
nonideal,0.001,0.1,random_binary,reference_k8,15.251231979391443,1.640425422601106,0.33883634615241687,0.01079371061580376,2048,257,2305
nonideal,0.001,0.1,random_binary,reference_k2,15.248923930269195,1.6408325587775288,0.3389943680008335,0.010095871273050243,2048,1025,3073
nonideal,0.001,0.1,random_uniform,reference_k2,15.16751976515879,1.6583961433385135,0.3455085641476803,0.013246786072498577,2048,1025,3073
nonideal,0.001,0.1,random_binary,reference_k32,15.167511263307349,1.6448554376343827,0.345409785907979,0.010301829460582938,2048,65,2113
nonideal,0.001,0.1,random_uniform,reference_k8,15.13238075276596,1.6606230183003845,0.34831858032549495,0.013498485397993192,2048,257,2305
nonideal,0.001,0.1,random_uniform,reference_k32,14.960901864190866,1.688098452450732,0.3623868705907012,0.014981448082280259,2048,65,2113
nonideal,0.001,0.15,srht_paired,reference_k8,34.580039226226724,2.1895970678595775,0.00400233224413777,0.0006445022876553479,2048,257,2305
nonideal,0.001,0.15,hadamard_paired,reference_k8,34.56775577090153,2.1870281073771323,0.004010025605349244,0.0006166902123022439,2048,257,2305
nonideal,0.001,0.15,hadamard_paired,reference_k32,34.36613980351369,2.174430194849072,0.00419978967362699,0.000641862915349656,2048,65,2113
nonideal,0.001,0.15,srht_paired,reference_k32,34.330863855743296,2.187030367037171,0.004237105664738308,0.0006701378718347764,2048,65,2113
nonideal,0.001,0.15,srht_paired,reference_k2,32.55973355280916,2.2344243217558106,0.006384694314458383,0.0011006966252786316,2048,1025,3073
nonideal,0.001,0.15,hadamard_paired,reference_k2,32.54567323013042,2.226643409812518,0.006399949295801804,0.0010705080473588612,2048,1025,3073
nonideal,0.001,0.15,dct_paired,reference_k8,31.63832082437575,2.20449506624192,0.007884075063916758,0.0012979480735291504,2048,257,2305
nonideal,0.001,0.15,dct_paired,reference_k32,31.508194466992265,2.2121835993380503,0.008125845977031906,0.001347267927724381,2048,65,2113
nonideal,0.001,0.15,dct_paired,reference_k2,29.597698262074758,2.236081751387256,0.012626501162040154,0.002166364554542682,2048,1025,3073
nonideal,0.001,0.15,fourier_fourstep,reference_k8,19.89040671536093,1.7199361098865171,0.11649768410754714,0.005442799984462593,2048,257,2305
nonideal,0.001,0.15,fourier_fourstep,reference_k32,19.80889586846076,1.7188493142251788,0.11867664003702821,0.004868714760384153,2048,65,2113
nonideal,0.001,0.15,fourier_fourstep,reference_k2,19.669924042451477,1.7132366197851103,0.12253709527816405,0.005074357748155053,2048,1025,3073
nonideal,0.001,0.15,random_binary,reference_k2,15.248490615752797,1.640991145194316,0.3390345263208095,0.010299511983640324,2048,1025,3073
nonideal,0.001,0.15,random_binary,reference_k8,15.22761084125408,1.6410998095137055,0.34067513241103653,0.010590564737099026,2048,257,2305
nonideal,0.001,0.15,random_uniform,reference_k2,15.14953848845243,1.6723537249781957,0.34697262501411225,0.01412888711177648,2048,1025,3073
nonideal,0.001,0.15,random_uniform,reference_k8,15.060663373681978,1.6740194609697918,0.3541403433419001,0.014306622960079812,2048,257,2305
nonideal,0.001,0.15,random_binary,reference_k32,15.057296219383085,1.6528772635397868,0.3542867259337119,0.010534703715024511,2048,65,2113
nonideal,0.001,0.15,random_uniform,reference_k32,14.7136006320856,1.7234641168171887,0.38374624735736146,0.018681568613886104,2048,65,2113
nonideal,0.001,0.3,srht_paired,reference_k2,30.13533117422258,2.224749788399862,0.011149664056264148,0.0018648267320770012,2048,1025,3073
nonideal,0.001,0.3,hadamard_paired,reference_k2,30.122781376002354,2.2158209211577384,0.011176870297314711,0.0018413836521869872,2048,1025,3073
nonideal,0.001,0.3,hadamard_paired,reference_k8,29.644033288487734,2.2329208001449175,0.012482266431450055,0.0020647212848547195,2048,257,2305
nonideal,0.001,0.3,srht_paired,reference_k8,29.62057137404383,2.235369595892754,0.012560451089752567,0.0021547670282176406,2048,257,2305
nonideal,0.001,0.3,hadamard_paired,reference_k32,29.18401563044694,2.2051226825523784,0.013868416012468819,0.002241890474758741,2048,65,2113
nonideal,0.001,0.3,srht_paired,reference_k32,29.072802276065648,2.212193633604472,0.014233097645043373,0.00234348378487457,2048,65,2113
nonideal,0.001,0.3,dct_paired,reference_k2,27.192425368154822,2.2329530481263755,0.021955555014229945,0.0036648068590674466,2048,1025,3073
nonideal,0.001,0.3,dct_paired,reference_k8,26.703489381986323,2.246524191927029,0.02459309962923162,0.004245249296882448,2048,257,2305
nonideal,0.001,0.3,dct_paired,reference_k32,26.31086549874114,2.242290173708495,0.02692613767994406,0.004678557771684298,2048,65,2113
nonideal,0.001,0.3,fourier_fourstep,reference_k2,19.50519152750154,1.7270663770205086,0.1272812778554575,0.005424534873733519,2048,1025,3073
nonideal,0.001,0.3,fourier_fourstep,reference_k8,19.396673164816573,1.74190830036087,0.13051979797673968,0.005993607000696985,2048,257,2305
nonideal,0.001,0.3,fourier_fourstep,reference_k32,19.187920999602508,1.7562321581442164,0.1369838041867822,0.007036252196847347,2048,65,2113
nonideal,0.001,0.3,random_binary,reference_k2,15.211287479331894,1.642333912430956,0.3419473756579353,0.010275065519187594,2048,1025,3073
nonideal,0.001,0.3,random_binary,reference_k8,15.080818743120632,1.6569025189308106,0.35239354110528226,0.011187655360805225,2048,257,2305
nonideal,0.001,0.3,random_uniform,reference_k2,15.07515419305648,1.6692294279403312,0.35296830038601074,0.014411441241505354,2048,1025,3073
nonideal,0.001,0.3,random_uniform,reference_k8,14.67398922465748,1.7153516781953797,0.3871884329073369,0.017279037823795612,2048,257,2305
nonideal,0.001,0.3,random_binary,reference_k32,14.541997310061632,1.7016897159080746,0.39900813222066245,0.01466886550385882,2048,65,2113
nonideal,0.001,0.3,random_uniform,reference_k32,13.720642597388057,1.7966164774461284,0.4827814700936428,0.03168449453624429,2048,65,2113
nonideal,0.001,0.5,hadamard_paired,reference_k2,27.112559348333658,2.2320105812533275,0.022370080425188166,0.0038057108855261024,2048,1025,3073
nonideal,0.001,0.5,srht_paired,reference_k2,27.089972034183333,2.2299930663117924,0.022487783330073688,0.0038343550776095067,2048,1025,3073
nonideal,0.001,0.5,hadamard_paired,reference_k8,25.54769584420279,2.2414799099353107,0.032075275812613366,0.0054200711967622795,2048,257,2305
nonideal,0.001,0.5,srht_paired,reference_k8,25.50055503607687,2.2314827544976423,0.03242864195140324,0.0055317259701030234,2048,257,2305
nonideal,0.001,0.5,hadamard_paired,reference_k32,25.035881255532505,2.2078623701902154,0.03605085611594597,0.005864589750914843,2048,65,2113
nonideal,0.001,0.5,srht_paired,reference_k32,24.90112564392725,2.2074625317102767,0.03718509540129262,0.006069102171882726,2048,65,2113
nonideal,0.001,0.5,dct_paired,reference_k2,24.190987156347752,2.22078316431375,0.04382762082337517,0.007389286161451843,2048,1025,3073
nonideal,0.001,0.5,dct_paired,reference_k8,22.667694049994193,2.2345889039625018,0.06226652578134745,0.010607686716181338,2048,257,2305
nonideal,0.001,0.5,dct_paired,reference_k32,22.223375755555363,2.230598476141651,0.06898836563946893,0.011820025761639373,2048,65,2113
nonideal,0.001,0.5,fourier_fourstep,reference_k2,19.123198909658434,1.7397822332630715,0.13899329185124734,0.006157976267170774,2048,1025,3073
nonideal,0.001,0.5,fourier_fourstep,reference_k8,18.464760897581673,1.7793168225481846,0.16178302623155033,0.007958522112921843,2048,257,2305
nonideal,0.001,0.5,fourier_fourstep,reference_k32,18.08021963439104,1.7954033179478428,0.1768984204907077,0.011203341883565253,2048,65,2113
nonideal,0.001,0.5,random_binary,reference_k2,15.139422951019665,1.6485130207208574,0.3476610294924236,0.01074075539029769,2048,1025,3073
nonideal,0.001,0.5,random_uniform,reference_k2,14.90417023305353,1.6935891903805818,0.3671853781125336,0.015967731390561693,2048,1025,3073
nonideal,0.001,0.5,random_binary,reference_k8,14.7695191252805,1.6852319525903892,0.37860786616230757,0.012935614072512688,2048,257,2305
nonideal,0.001,0.5,random_uniform,reference_k8,13.99716651271848,1.7693720370040045,0.4526994748407391,0.024528896301314357,2048,257,2305
nonideal,0.001,0.5,random_binary,reference_k32,13.704778733131759,1.757386400780884,0.48413184867974046,0.024617255451112346,2048,65,2113
nonideal,0.001,0.5,random_uniform,reference_k32,12.611726667956287,1.8008756643312593,0.6231854788861141,0.04030844872766105,2048,65,2113
nonideal,0.003,0.05,srht_paired,reference_k32,37.5424533406778,2.1216983340271898,0.0020180335850935043,0.00028917659207704964,2048,65,2113
nonideal,0.003,0.05,hadamard_paired,reference_k32,37.523538063433655,2.120754771580576,0.002027566642163338,0.00029542164144462824,2048,65,2113
nonideal,0.003,0.05,srht_paired,reference_k8,37.416706118954444,2.1374827787365858,0.002079261495463434,0.00031138204970435014,2048,257,2305
nonideal,0.003,0.05,hadamard_paired,reference_k8,37.35354583349125,2.154968952228387,0.0021102716669353823,0.00031940664043504977,2048,257,2305
nonideal,0.003,0.05,dct_paired,reference_k32,34.70357215582328,2.1496675534858283,0.003885980979174642,0.0006010725837581586,2048,65,2113
nonideal,0.003,0.05,dct_paired,reference_k8,34.46897768818073,2.162946706273032,0.004102712913827684,0.0006428138070360365,2048,257,2305
nonideal,0.003,0.05,srht_paired,reference_k2,33.351590967521176,2.197763232875286,0.00531484658184875,0.0008802240031166269,2048,1025,3073
nonideal,0.003,0.05,hadamard_paired,reference_k2,33.33966838923613,2.192897938164153,0.005326541370855706,0.0008618514299384221,2048,1025,3073
nonideal,0.003,0.05,dct_paired,reference_k2,30.387957623763324,2.1940606686654163,0.010511316116517698,0.0017137891149218115,2048,1025,3073
nonideal,0.003,0.05,fourier_fourstep,reference_k8,20.003141090711917,1.7095661683214929,0.1135116702279915,0.005286978301859378,2048,257,2305
nonideal,0.003,0.05,fourier_fourstep,reference_k32,19.971503525290355,1.7083042477366552,0.11431283856519535,0.004642741149333212,2048,65,2113
nonideal,0.003,0.05,fourier_fourstep,reference_k2,19.710744372561134,1.7124584604044013,0.12138595433446873,0.004900079331981451,2048,1025,3073
