variant,correction,rho,sigma_a,seed,object,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
sign_only,oracle,1.0,0.3,0,5,9.1447708929681e-14,7.915882692494175e-13,120.0,1.000000029936725,0.0,1.0000001192092896,1.0
sign_only,none,1.0,0.3,0,6,0.12105877118979468,0.9094314235322202,9.170037387185268,0.08843558637394237,,,
sign_only,agc,1.0,0.3,0,6,0.12118870620723957,0.9104075360990356,9.165378509652239,0.0882123191353376,0.08102881908416748,0.11359401047229767,0.9989728331565857
sign_only,pairwise,1.0,0.3,0,6,0.11970302043962233,0.899246599065837,9.218948909995117,0.10112235543114108,0.027610357850790024,0.8137710094451904,0.9998972415924072
sign_only,oracle,1.0,0.3,0,6,1.081179103693325e-13,8.122156219672579e-13,120.0,1.0000001656705835,0.0,1.0000001192092896,1.0
sign_only,none,1.0,0.3,0,7,0.11727109126487888,0.913683304258085,9.308090335066552,0.08103691533484136,,,
sign_only,agc,1.0,0.3,0,7,0.11734238030252109,0.9142387318811058,9.305451063211086,0.08095253500591312,0.08091232180595398,0.11596991866827011,0.9991117715835571
sign_only,pairwise,1.0,0.3,0,7,0.11605323647803947,0.9041947459634184,9.353427434893751,0.09209879557634741,0.027613259851932526,0.8137478828430176,1.0000094175338745
sign_only,oracle,1.0,0.3,0,7,1.1568420549225671e-13,9.013195492987773e-13,120.0,0.9999998650095683,0.0,1.0000001192092896,1.0
sign_only,none,1.0,0.3,0,8,0.103406674930206,0.9127792422423582,9.854514265052135,0.08341671560911433,,,
sign_only,agc,1.0,0.3,0,8,0.10356219906602582,0.9141520666073213,9.84798736219973,0.08310738840437254,0.08115854859352112,0.1123616173863411,0.9987696409225464
sign_only,pairwise,1.0,0.3,0,8,0.103286149210727,0.9117153517829559,9.85957913956313,0.09192030388698197,0.027622075751423836,0.8136866688728333,0.9997951984405518
sign_only,oracle,1.0,0.3,0,8,1.1057301816229632e-13,9.760371445919993e-13,120.0,1.0000002061563007,0.0,1.0000001192092896,1.0
sign_only,none,1.0,0.3,0,9,0.07236253375306698,0.9105797191879623,11.404862348510537,0.09447631769791891,,,
sign_only,agc,1.0,0.3,0,9,0.07234774645735265,0.9103936420720745,11.405749920691868,0.09463730669885016,0.08105441182851791,0.11245805025100708,0.9989703297615051
sign_only,pairwise,1.0,0.3,0,9,0.07145113997839359,0.8991111228803244,11.459908377984647,0.10784350675632688,0.027631565928459167,0.8136106133460999,1.0000587701797485
sign_only,oracle,1.0,0.3,0,9,5.636243469335258e-14,7.092411956021044e-13,120.0,1.000000034761325,0.0,1.0000001192092896,1.0
sign_only,none,1.0,0.3,1,0,0.07448102990736832,0.8809559351628955,11.279543266562191,0.11279872284028113,,,
sign_only,agc,1.0,0.3,1,0,0.07431859806511276,0.8790347037342694,11.28902491403114,0.1143138385639136,0.0874335840344429,0.1341295838356018,0.9999217391014099
sign_only,pairwise,1.0,0.3,1,0,0.0733703105452237,0.8678184313501984,11.344796427380704,0.13361646261086682,0.02917489968240261,0.819947361946106,0.9998871684074402
sign_only,oracle,1.0,0.3,1,0,5.831324713220103e-14,6.897246348986251e-13,120.0,1.0000000123504822,1.3988611057534368e-14,0.9999999403953552,0.9999998807907104
sign_only,none,1.0,0.3,1,1,0.0731545263063955,0.917244144556208,11.357587975075552,0.09703656638708227,,,
sign_only,agc,1.0,0.3,1,1,0.07297550633634838,0.9149995121653616,11.368228830022405,0.09880288172243575,0.08737576752901077,0.13640862703323364,1.0000033378601074
sign_only,pairwise,1.0,0.3,1,1,0.07195239345395199,0.9021712656031791,11.429547549371708,0.11762771928591838,0.02917439118027687,0.8199502229690552,1.0000853538513184
sign_only,oracle,1.0,0.3,1,1,6.266694325218616e-14,7.85746141182773e-13,120.0,1.0000001044398288,1.3988611057534368e-14,0.9999999403953552,0.9999998807907104
sign_only,none,1.0,0.3,1,2,0.06508386614464236,0.9210317290484226,11.86526656789056,0.08826308408860367,,,
sign_only,agc,1.0,0.3,1,2,0.06495716186204166,0.9192386784600907,11.873729587450397,0.08974633857895051,0.08745189011096954,0.13342608511447906,0.9999027848243713
sign_only,pairwise,1.0,0.3,1,2,0.06421449938891693,0.9087289201706663,11.923668988217344,0.10606896151031524,0.029161393642425537,0.8200384974479675,0.9999905824661255
sign_only,oracle,1.0,0.3,1,2,5.477035318810971e-14,7.750804628804319e-13,120.0,1.0000001369994538,1.3988611057534368e-14,0.9999999403953552,0.9999998807907104
