variant,basis_name,paired,correction,rho,sigma_a,seed,object,num_frames,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
sign_only,sign_only,True,none,1.0,0.3,2,7,2048,0.11787062202870163,0.9183543723225637,9.285944245968093,0.07744778671480598,,,
sign_only,sign_only,True,agc,1.0,0.3,2,7,2048,0.11788995754643315,0.9185050193365885,9.285231886956293,0.07755092696765106,0.08412978053092957,0.10477666556835175,0.9997681379318237
sign_only,sign_only,True,pairwise,1.0,0.3,2,7,2048,0.116620119791671,0.9086114509973789,9.332265168093754,0.08806276570611307,0.02872886322438717,0.813713788986206,1.0000481605529785
sign_only,sign_only,True,oracle,1.0,0.3,2,7,2048,1.217035467197799e-13,9.482174806039276e-13,120.0,0.9999998695220567,0.0,1.0,1.0
sign_only,sign_only,True,none,1.0,0.3,2,8,2048,0.10340193176316301,0.9127373739159444,9.854713476420251,0.08204969404116223,,,
sign_only,sign_only,True,agc,1.0,0.3,2,8,2048,0.10341211894124239,0.9128272969764641,9.854285629742083,0.08220747478165444,0.08415050804615021,0.1040019690990448,0.9997433423995972
sign_only,sign_only,True,pairwise,1.0,0.3,2,8,2048,0.10287489281509779,0.9080851576835602,9.876906042689647,0.09118074512676926,0.028727618977427483,0.8137229084968567,0.9999436140060425
sign_only,sign_only,True,oracle,1.0,0.3,2,8,2048,1.0534761466646073e-13,9.299120772638154e-13,120.0,1.0000001781299446,0.0,1.0,1.0
sign_only,sign_only,True,none,1.0,0.3,2,9,2048,0.07153091804150408,0.9001150165050612,11.455062011012307,0.09695165315083029,,,
sign_only,sign_only,True,agc,1.0,0.3,2,9,2048,0.07157950588335082,0.9007264254910392,11.452113038906194,0.09692275927971053,0.08415611833333969,0.103740394115448,0.9997400045394897
sign_only,sign_only,True,pairwise,1.0,0.3,2,9,2048,0.07100097367459043,0.8934464192658301,11.487356955259624,0.10794036864546497,0.028758585453033447,0.8134986758232117,0.9999866485595703
sign_only,sign_only,True,oracle,1.0,0.3,2,9,2048,5.669756381715716e-14,7.1345831968025e-13,120.0,1.0000000419921644,0.0,1.0,1.0
sign_only,sign_only,True,none,1.0,0.3,3,0,2048,0.07675083438697036,0.9078030092494331,11.149168944476845,0.10583314523142236,,,
sign_only,sign_only,True,agc,1.0,0.3,3,0,2048,0.07673757328887476,0.9076461579936351,11.149919388347943,0.10633020574025574,0.08168478310108185,0.08671627193689346,0.9995266199111938
sign_only,sign_only,True,pairwise,1.0,0.3,3,0,2048,0.07544310762130922,0.8923353169093385,11.223804306234653,0.12419835546629893,0.026920713484287262,0.8199678659439087,0.9999988675117493
sign_only,sign_only,True,oracle,1.0,0.3,3,0,2048,5.796621102346399e-14,6.856199183004798e-13,120.0,0.9999999848448968,1.3707206383665755e-14,1.0,1.0000001192092896
sign_only,sign_only,True,none,1.0,0.3,3,1,2048,0.07275876148450224,0.9122818683467699,11.381147022009726,0.10357029364040982,,,
sign_only,sign_only,True,agc,1.0,0.3,3,1,2048,0.07269172371336141,0.9114413188121386,11.385150327479279,0.10424182461596805,0.08168928325176239,0.08416877686977386,0.9996069073677063
sign_only,sign_only,True,pairwise,1.0,0.3,3,1,2048,0.07188547008571952,0.9013321505033408,11.433588829034203,0.11986518562788691,0.02693185955286026,0.8198855519294739,0.9999399781227112
sign_only,sign_only,True,oracle,1.0,0.3,3,1,2048,6.511589279663207e-14,8.164521650390196e-13,120.0,1.0000001138799017,1.3707206383665755e-14,1.0,1.0000001192092896
sign_only,sign_only,True,none,1.0,0.3,3,2,2048,0.0638634087530514,0.9037604750772955,11.947479044133773,0.10067900197435893,,,
sign_only,sign_only,True,agc,1.0,0.3,3,2,2048,0.06378484708336027,0.9026487127503351,11.952824813054828,0.10148526981603165,0.08173782378435135,0.08327295631170273,0.9995284676551819
sign_only,sign_only,True,pairwise,1.0,0.3,3,2,2048,0.06317040561989058,0.8939534689514983,11.994863344731376,0.11539774584208061,0.02691580541431904,0.8200042843818665,0.9999907612800598
