variant,correction,rho,sigma_a,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,gain_rel_mse_mean
srht_full,pairwise,10.0,0.3,10.865347869063646,1.651826500547764,0.9299727372899547,0.02125880817474454,0.04216220922768116
hadamard_ordered,agc,10.0,0.5,10.622996495718603,1.6295012926592967,0.983112185289535,0.006535331671111097,0.2218124794960022
hadamard_ordered,none,10.0,0.5,10.64937723293803,1.629139215145066,0.9771896298586691,0.010206946579754418,
hadamard_ordered,oracle,10.0,0.5,120.0,0.0,9.305511641225695e-13,1.3876591099977282e-13,2.7213093364559897e-15
hadamard_ordered,pairwise,10.0,0.5,10.670173538774591,1.632758134255414,0.9725003763560929,0.00783318034933762,0.10813821271061898
random_binary,agc,10.0,0.5,10.647688727378524,1.6305954155814355,0.9775491231226913,0.00796513717016331,0.2165939798951149
random_binary,none,10.0,0.5,10.650333893675768,1.6300866159083343,0.9769600433106287,0.008690832991235685,
random_binary,oracle,10.0,0.5,15.391698930411554,1.6501008403828752,0.3280273106139081,0.009708916323966452,2.7213093364559897e-15
random_uniform,agc,10.0,0.5,10.585502754266818,1.6195567803033297,0.9916258692004771,0.004702890736347986,0.21638338387012482
random_uniform,none,10.0,0.5,10.58684098022675,1.6196842534591693,0.9913214698843533,0.0049334615218031945,
random_uniform,oracle,10.0,0.5,15.385248388759003,1.6316207022349347,0.32860463407275325,0.01240547404787939,2.7213093364559897e-15
sign_only,agc,10.0,0.5,10.658716080509123,1.6268452223752672,0.9750843399348476,0.009535377790464589,0.21638554632663726
sign_only,none,10.0,0.5,10.65835009232812,1.6269377777812108,0.9751694101764679,0.009829936121287483,
sign_only,oracle,10.0,0.5,120.0,0.0,7.827657265164444e-13,9.750539980080598e-14,2.7213093364559897e-15
sign_only,pairwise,10.0,0.5,10.675112697588883,1.6258074235600657,0.9714324618844397,0.011609718395271713,0.1082040499150753
srht_full,agc,10.0,0.5,10.653573145417887,1.6222387347898801,0.9762576925221285,0.011261765814343242,0.21642372250556946
srht_full,none,10.0,0.5,10.654125945012597,1.6224915410646614,0.9761345032433718,0.0113521217607907,
