image_size,num_pixels,num_frames,basis,sigma_delta,seed,object,mse,rel_mse,psnr,recon_scale,delta_recon_mse,delta_recon_rel_mse
16,256,512,random_binary,0.02,1,3,0.036766683175000314,0.3572152282246561,14.345455472801083,0.6329078529431267,0.0018365877739421788,0.010953542028275172
16,256,512,random_binary,0.02,1,4,0.052824992837567655,0.3998723392928141,12.771605531607424,0.6780940438230535,0.0026420230543680325,0.015531768346339186
16,256,512,random_binary,0.02,2,0,0.04797301106647667,0.38100563885922967,13.190030218193753,0.6426281905838482,0.002506166283490719,0.013326418941425978
16,256,512,random_binary,0.02,2,1,0.030168784632052376,0.3344802916455539,15.20442185291532,0.6649329622219317,0.001708863648427638,0.012657762088586827
16,256,512,random_binary,0.02,2,2,0.0823112224570319,0.39045935445103797,10.845409482762777,0.6991893791972992,0.006313455826837176,0.02408101144695152
16,256,512,random_binary,0.02,2,3,0.03688776805088059,0.358391656388335,14.331176216100365,0.6219054973297077,0.0019508909886113176,0.011635254649696983
16,256,512,random_binary,0.02,2,4,0.05457971162538243,0.41315513345507937,12.629687632765288,0.6657084805160107,0.0032476935268054815,0.01909234797737743
16,256,512,random_binary,0.02,3,0,0.047597317379501576,0.37802184838956393,13.224175237524136,0.6428450052492619,0.0022017665970339552,0.011707788216847176
16,256,512,random_binary,0.02,3,1,0.030337414861435274,0.33634988927741616,15.180214294572314,0.6662968032014491,0.0021062523407956585,0.015601268745374382
16,256,512,random_binary,0.02,3,2,0.08162647343046316,0.3872111137507546,10.88168966244353,0.7112347176081845,0.0063410200880527024,0.024186148048531322
16,256,512,random_binary,0.02,3,3,0.037019189124262344,0.35966850827345453,14.315730983522997,0.624843205814816,0.0015479220817717053,0.009231919007490558
16,256,512,random_binary,0.02,3,4,0.053234992151849424,0.4029759343167534,12.738028056224373,0.6856668410359774,0.00334208970679392,0.019647278638537186
16,256,512,random_binary,0.05,0,0,0.052735082145299615,0.41882640293771956,12.779003731535795,0.5933449362991836,0.015224093970053445,0.08095338908078506
16,256,512,random_binary,0.05,0,1,0.032536651080996015,0.3607327466277455,14.876271499821662,0.6234181032846672,0.011129114644723992,0.08243471359411325
16,256,512,random_binary,0.05,0,2,0.0988940333061348,0.46912315539876925,10.048299104290226,0.6190052808317182,0.0370937788333706,0.14148443217105328
16,256,512,random_binary,0.05,0,3,0.03973433540171899,0.3860481409574406,14.008340466153761,0.596662641398486,0.013382488773071676,0.07981412884183568
16,256,512,random_binary,0.05,0,4,0.06041979072500962,0.45736311088734904,12.188207833184636,0.6062683802101577,0.015622022495780482,0.09183781878988959
16,256,512,random_binary,0.05,1,0,0.05361475467148989,0.42581283521239177,12.707156769002761,0.5987421091181242,0.016633482428304373,0.08844774457091703
16,256,512,random_binary,0.05,1,1,0.03459548896042494,0.3835590123444846,14.609805268522562,0.591924547777931,0.012443917987184206,0.09217362279114207
16,256,512,random_binary,0.05,1,2,0.09735696932983821,0.4618317923255503,10.116329539215192,0.6053016372882281,0.041655680970858644,0.15888460421720121
16,256,512,random_binary,0.05,1,3,0.04052592260071713,0.39373898977847616,13.922670893520069,0.5901709914845705,0.010535601859862066,0.06283508983481147
16,256,512,random_binary,0.05,1,4,0.05996960461703202,0.45395531161574915,12.22068814480668,0.6142807474924724,0.014887161273262948,0.08751776024385238
