arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n,rel_mse_grid,abs_diff
hadamard_paired+pairwise,0.15,2,0.001,0.003350893675834743,0.003443092444670816,5,0.00335089281937804,8.564567028669645e-10
hadamard_paired+pairwise,0.15,2,0.003,0.009973879527138782,0.010151790694643692,5,0.00997387861172916,9.154096213687124e-10
hadamard_paired+pairwise,0.15,2,0.01,0.0323573132706428,0.03299761445097797,5,0.03235732362708418,1.0356441378089887e-08
hadamard_paired+pairwise,0.15,2,0.03,0.09049546589314542,0.09770938364768393,5,0.09049547707854247,1.1185397053026236e-08
hadamard_paired+pairwise,0.15,2,0.1,0.24389845408902477,0.3174255783993311,5,0.2438984961995443,4.211051951585887e-08
hadamard_paired+pairwise,0.15,2,0.3,0.47119702929736595,0.8644182990736416,5,0.4711970773715568,4.80741908504001e-08
hadamard_paired+pairwise,0.15,2,1.0,0.6875872412976445,2.0835959652509195,5,0.6875872806298096,3.933216508045234e-08
hadamard_paired+pairwise,0.15,2,3.0,0.7671658857294503,3.0859391691926694,5,0.76716590994106,2.421160971710634e-08
hadamard_paired+pairwise,0.15,2,10.0,0.7758805713805424,3.242859962261233,5,0.7758806066008102,3.522026770230724e-08
hadamard_paired+pairwise,0.15,3,0.001,0.003223220685671123,0.003315119875005564,5,0.00322322173371372,1.0480425971515217e-09
hadamard_paired+pairwise,0.15,3,0.003,0.009606562692096837,0.009748469608058394,5,0.00960656592633502,3.234238182825422e-09
hadamard_paired+pairwise,0.15,3,0.01,0.031266589609864344,0.031711546452436866,5,0.03126658797884614,1.631018202441492e-09
hadamard_paired+pairwise,0.15,3,0.03,0.08802901140206301,0.09401859296141359,5,0.08802902523229318,1.3830230169431523e-08
hadamard_paired+pairwise,0.15,3,0.1,0.23966331140690583,0.30528879881734916,5,0.23966332208677404,1.067986821201572e-08
hadamard_paired+pairwise,0.15,3,0.3,0.4646238238912906,0.8313362773746465,5,0.4646238389130538,1.5021763222211604e-08
hadamard_paired+pairwise,0.15,3,1.0,0.6810278472686591,2.001042384703633,5,0.6810278791812363,3.1912577247439344e-08
hadamard_paired+pairwise,0.15,3,3.0,0.7617185433158241,2.967476539460127,5,0.7617185750100124,3.1694188273867496e-08
hadamard_paired+pairwise,0.15,3,10.0,0.7705237804233065,3.118886885207928,5,0.7705238127245428,3.230123635233895e-08
