arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n
hadamard_paired+pairwise,0.1,2,1.0,0.4926102665139326,0.9408941031538853,5
hadamard_paired+pairwise,0.1,2,3.0,0.5923484666612111,1.3982133271184218,5
hadamard_paired+pairwise,0.1,2,10.0,0.6042909124960799,1.4698973096474077,5
hadamard_paired+pairwise,0.1,3,0.001,0.0014345171922492477,0.0014750625856436508,5
hadamard_paired+pairwise,0.1,3,0.003,0.004289328070492322,0.004354733010581658,5
hadamard_paired+pairwise,0.1,3,0.01,0.014120875327659408,0.01422815423269769,5
hadamard_paired+pairwise,0.1,3,0.03,0.04101292128680686,0.042234438364030076,5
hadamard_paired+pairwise,0.1,3,0.1,0.12223432383596051,0.13707620217627822,5
hadamard_paired+pairwise,0.1,3,0.3,0.27677078760770607,0.3739211145240997,5
hadamard_paired+pairwise,0.1,3,1.0,0.4841106807111849,0.9036250134415754,5
hadamard_paired+pairwise,0.1,3,3.0,0.5840293036899733,1.3439769575690454,5
hadamard_paired+pairwise,0.1,3,10.0,0.5959879796962387,1.4131990928081233,5
hadamard_paired+pairwise,0.1,4,0.001,0.0011899652253328115,0.0012342911321953547,5
hadamard_paired+pairwise,0.1,4,0.003,0.0035571663135317033,0.003644413945749596,5
hadamard_paired+pairwise,0.1,4,0.01,0.011709951599251214,0.011829982818796618,5
hadamard_paired+pairwise,0.1,4,0.03,0.03405424875259025,0.03504093878997924,5
hadamard_paired+pairwise,0.1,4,0.1,0.10251543526298228,0.11371128490111967,5
hadamard_paired+pairwise,0.1,4,0.3,0.23900314417389074,0.31001707627122144,5
hadamard_paired+pairwise,0.1,4,1.0,0.4350596275576867,0.7492824585476943,5
hadamard_paired+pairwise,0.1,4,3.0,0.5360062753170258,1.1142096959120265,5
hadamard_paired+pairwise,0.1,4,10.0,0.5485633118254654,1.170930585285833,5
hadamard_paired+pairwise,0.1,5,0.001,0.0016813563694884942,0.0017202536865960974,5
hadamard_paired+pairwise,0.1,5,0.003,0.0050216739617373425,0.005098729239400512,5
hadamard_paired+pairwise,0.1,5,0.01,0.016480021339566258,0.016687152955818678,5
hadamard_paired+pairwise,0.1,5,0.03,0.04750610468673523,0.04948681925131351,5
hadamard_paired+pairwise,0.1,5,0.1,0.13915006876280833,0.1606804810761075,5
hadamard_paired+pairwise,0.1,5,0.3,0.30721901265618595,0.4384605049505012,5
hadamard_paired+pairwise,0.1,5,1.0,0.518901661696631,1.0610065571743994,5
hadamard_paired+pairwise,0.1,5,3.0,0.6169510496351454,1.576894781036007,5
hadamard_paired+pairwise,0.1,5,10.0,0.6286995063884413,1.6579890968578124,5
hadamard_paired+pairwise,0.1,6,0.001,0.0017702204213988482,0.0018103559729196223,5
hadamard_paired+pairwise,0.1,6,0.003,0.005287212199331743,0.005362665595237604,5
hadamard_paired+pairwise,0.1,6,0.01,0.01734571278856028,0.01755994083672813,5
hadamard_paired+pairwise,0.1,6,0.03,0.049940884133810065,0.05208459662720606,5
hadamard_paired+pairwise,0.1,6,0.1,0.14586943782825038,0.16918773826646297,5
hadamard_paired+pairwise,0.1,6,0.3,0.3200955795706253,0.46146799664679994,5
hadamard_paired+pairwise,0.1,6,1.0,0.5334438713044897,1.1166821058469847,5
hadamard_paired+pairwise,0.1,6,3.0,0.6300012945128581,1.6598689833327946,5
hadamard_paired+pairwise,0.1,6,10.0,0.6416407456405736,1.7440351211581575,5
hadamard_paired+pairwise,0.1,7,0.001,0.0020371803540508273,0.0020715159528970316,5
hadamard_paired+pairwise,0.1,7,0.003,0.006077505050818912,0.006152089618516475,5
hadamard_paired+pairwise,0.1,7,0.01,0.019880582711599933,0.02018431136452936,5
hadamard_paired+pairwise,0.1,7,0.03,0.0568789415366309,0.059997467293119125,5
hadamard_paired+pairwise,0.1,7,0.1,0.16323288434552596,0.19488907562054267,5
hadamard_paired+pairwise,0.1,7,0.3,0.34892426244237706,0.5311794191493204,5
hadamard_paired+pairwise,0.1,7,1.0,0.568631536841979,1.2850348307551376,5
hadamard_paired+pairwise,0.1,7,3.0,0.6631961743881674,1.911979982440362,5
