object,object_source,variant,cnr,psnr,ssim,scale_aligned_psnr,affine_aligned_psnr,affine_offset,affine_slope,recon_min,recon_max,recon_mean,pattern_factor,num_patterns
letter_L,handcrafted,minmax,3.548189878463745,8.707290649414062,0.05949622020125389,11.772159576416016,14.647405624389648,-0.5241158953645534,1.581322752210266,0.0,0.9999709725379944,0.38702189922332764,1.0,16384
letter_L,handcrafted,hadamard_exact,200000000.0,80.0,1.0,80.0,80.0,-1.1709383462843448e-16,1.0000000000000013,0.0,1.0,0.087890625,1.0,32768
ring,handcrafted,raw,2.9818475246429443,8.824419021606445,0.7679234147071838,12.82098388671875,12.975977897644043,0.1338516917960216,6707.805338481734,-0.00010612607002258301,0.00014725327491760254,-4.0969825931824744e-07,1.0,16384
ring,handcrafted,minmax,2.9818472862243652,8.289705276489258,0.08628682792186737,10.417377471923828,12.975977897644043,-0.5780213279079176,1.699686480326801,0.0,0.9999604821205139,0.4172092080116272,1.0,16384
ring,handcrafted,hadamard_exact,200000000.0,80.0,1.0,80.0,80.0,1.1508806060933627e-16,0.9999999999999993,0.0,1.0,0.131103515625,1.0,32768
heldout_0,mnist,raw,2.8425962924957275,11.803577423095703,0.7195121049880981,15.748022079467773,15.919713973999023,0.09834594899166439,5079.1373781352295,-0.00010591745376586914,0.00017315149307250977,-1.4398938219528645e-07,1.0,16384
heldout_0,mnist,minmax,2.8425960540771484,9.576555252075195,0.09665714204311371,13.40532398223877,15.919713020324707,-0.4396233490211917,1.4174803685143447,0.0,0.9999641180038452,0.3790091276168823,1.0,16384
heldout_0,mnist,hadamard_exact,6.495166778564453,80.0,1.0,80.0,80.0,-5.177460591832407e-09,1.0000000147883363,0.0,0.995018482208252,0.0976146012544632,1.0,32768
heldout_1,mnist,raw,2.5061652660369873,9.332902908325195,0.6953778266906738,13.142155647277832,13.576005935668945,0.14406311386088164,7444.191671420767,-8.609890937805176e-05,0.00011038780212402344,6.851951184216887e-08,1.0,16384
heldout_1,mnist,minmax,2.506164789199829,8.554610252380371,0.092426598072052,11.317502975463867,13.576005935668945,-0.4968736705341835,1.4627591620420142,0.0,0.9999490976333618,0.4385184049606323,1.0,16384
heldout_1,mnist,hadamard_exact,7.317121505737305,80.0,1.0,80.0,80.0,-1.0643055441111829e-08,1.0000000201442707,0.0,0.9958946108818054,0.1445731818675995,1.0,32768
heldout_2,mnist,raw,2.542039155960083,9.357994079589844,0.6902357935905457,13.193500518798828,13.643712043762207,0.14471499351373918,7409.905672781141,-8.675456047058105e-05,0.00012010335922241211,8.541610441170633e-08,1.0,16384
heldout_2,mnist,minmax,2.542039632797241,8.907723426818848,0.09397488832473755,11.367694854736328,13.643712043762207,-0.49812811749464087,1.5328717558584581,0.0,0.9999516606330872,0.41978463530540466,1.0,16384
heldout_2,mnist,hadamard_exact,7.152291774749756,80.0,0.9999998807907104,80.0,80.0,-1.643145236758742e-08,1.000000031809065,0.0,0.9995712041854858,0.14534792304039001,1.0,32768
heldout_3,mnist,raw,2.747955799102783,11.09007453918457,0.7245221734046936,15.155256271362305,15.363582611083984,0.10867885141351587,5599.741910797432,-0.00010144710540771484,0.00014668703079223633,-8.930692274589092e-08,1.0,16384
heldout_3,mnist,minmax,2.747955560684204,9.016134262084961,0.10119814425706863,12.79869556427002,15.363582611083984,-0.4593987568534007,1.389543186239748,0.0,0.9999596476554871,0.40846335887908936,1.0,16384
heldout_3,mnist,hadamard_exact,6.644013404846191,80.0,1.0,80.0,80.0,-1.0463171171096421e-08,1.0000000107536762,0.0,0.9919730424880981,0.1081787645816803,1.0,32768
letter_A,handcrafted,raw,4.574562072753906,10.729561805725098,0.8336086273193359,17.40683937072754,16.95115852355957,0.08772624318687025,6098.558166149441,-9.402632713317871e-05,0.00017446279525756836,-1.4177203411236405e-08,2.0,32768
letter_A,handcrafted,minmax,4.574562072753906,9.909163475036621,0.0867147147655487,12.415285110473633,16.95115852355957,-0.4856987820824371,1.6374575871214512,0.0,0.9999626874923706,0.3501394987106323,2.0,32768
stripe_target,handcrafted,raw,3.4861154556274414,6.7224860191345215,0.5501177906990051,12.308573722839355,13.251184463500977,0.2111815314369874,14594.750034702669,-6.324052810668945e-05,8.034706115722656e-05,1.0455732990521938e-07,2.0,32768
stripe_target,handcrafted,minmax,3.4861152172088623,8.59401798248291,0.2375549077987671,9.425555229187012,13.251184463500977,-0.7117981692375828,2.095770881104421,0.0,0.9999303817749023,0.4411291778087616,2.0,32768
letter_L,handcrafted,raw,5.044803619384766,10.561442375183105,0.8535292148590088,17.271766662597656,16.802906036376953,0.08881324543658983,6107.135793133893,-0.00010472536087036133,0.00016894936561584473,-1.5107252693269402e-07,2.0,32768
letter_L,handcrafted,minmax,5.044803142547607,9.147557258605957,0.07173115760087967,12.093267440795898,16.802906036376953,-0.5507587546089485,1.6714298609872165,0.0,0.9999634027481079,0.38209760189056396,2.0,32768
ring,handcrafted,raw,4.17406702041626,8.824419021606445,0.7679238319396973,15.115310668945312,15.091575622558594,0.13155309412084926,8955.663160089254,-7.62939453125e-05,0.00011530518531799316,-5.020046955905855e-08,2.0,32768
ring,handcrafted,minmax,4.174065589904785,9.123788833618164,0.10904654860496521,10.937118530273438,15.091575622558594,-0.5517097808727073,1.715986806100197,0.0,0.9999478459358215,0.3979128897190094,2.0,32768
heldout_0,mnist,raw,3.741628646850586,11.803590774536133,0.7195123434066772,18.0739803314209,18.11188507080078,0.09695513162560716,6776.011537810491,-8.112192153930664e-05,0.00013890862464904785,9.732502803672105e-08,2.0,32768
heldout_0,mnist,minmax,3.741628646850586,10.151937484741211,0.12144085764884949,13.822866439819336,18.111881256103516,-0.45272794549352297,1.4909972614326004,0.0,0.9999545812606812,0.3691103756427765,2.0,32768
heldout_1,mnist,raw,3.3325793743133545,9.332906723022461,0.6953762769699097,15.234577178955078,15.666339874267578,0.14288995097237303,9921.606281532708,-7.131695747375488e-05,0.0001023709774017334,1.6965350368991494e-07,2.0,32768
heldout_1,mnist,minmax,3.3325798511505127,9.40693473815918,0.11397887766361237,11.67978286743164,15.666339874267578,-0.564688821567509,1.7233624917554544,0.0,0.999942421913147,0.41155707836151123,2.0,32768
heldout_2,mnist,raw,3.3650453090667725,9.357993125915527,0.690234899520874,15.237049102783203,15.723730087280273,0.14488798928722077,9931.61233092011,-6.756186485290527e-05,0.00010830163955688477,4.630965122487396e-08,2.0,32768
heldout_2,mnist,minmax,3.3650455474853516,9.984495162963867,0.11763729155063629,11.826200485229492,15.723730087280273,-0.5261102609572189,1.7467074362896369,0.0,0.9999431371688843,0.3844136595726013,2.0,32768
heldout_3,mnist,raw,3.539583683013916,11.090076446533203,0.7245228290557861,17.333023071289062,17.462053298950195,0.10772321245923053,7427.634205350137,-7.233023643493652e-05,0.00013116002082824707,6.133086571935564e-08,2.0,32768
heldout_3,mnist,minmax,3.539583921432495,10.551066398620605,0.12599502503871918,13.346634864807129,17.462053298950195,-0.42951932694977096,1.5115254524509276,0.0,0.9999508857727051,0.3557320833206177,2.0,32768
