sigma_a,object,rho,rel_mse,K_eff,D_H,pred_rel_mse,ratio_measured_over_pred
0.5,0,0.244335,0.8776008995052607,256.3624220382574,0.9938941713593432,6.904198946144333,0.12711118354944842
0.5,0,0.3,0.8950542035584388,256.3624220382574,0.9938941713593432,8.254846269281694,0.10842772528534599
0.5,0,0.36467,0.9090558743886111,256.3624220382574,0.9938941713593432,9.732428991035201,0.09340482989662362
0.5,0,0.544268,0.931119283000692,256.3624220382574,0.9938941713593432,13.368364443839925,0.06965094996566668
0.5,0,0.812317,0.9460771140089527,256.3624220382574,0.9938941713593432,17.713861104915047,0.05340885922078533
0.5,0,1.0,0.9516655225555747,256.3624220382574,0.9938941713593432,20.132811999775125,0.047269379089528295
0.5,0,1.21238,0.955770903876273,256.3624220382574,0.9938941713593432,22.37474085489204,0.04271651278889794
0.5,0,1.80947,0.9616565830527056,256.3624220382574,0.9938941713593432,26.63455108212111,0.03610560508745476
0.5,0,2.70063,0.9648516548359511,256.3624220382574,0.9938941713593432,29.710516337956804,0.03247508874840053
0.5,0,3.0,0.965358189040835,256.3624220382574,0.9938941713593432,30.263939441801146,0.031897968567418666
0.5,0,4.03068,0.9662461139093261,256.3624220382574,0.9938941713593432,31.28391844500897,0.030886351900187903
0.5,0,6.01577,0.9666515970775068,256.3624220382574,0.9938941713593432,31.77192749837079,0.03042470738129045
0.5,0,8.9785,0.966711801534989,256.3624220382574,0.9938941713593432,31.845623647648573,0.03035618998173928
0.5,0,10.0,0.9667138918401073,256.3624220382574,0.9938941713593432,31.848193656021465,0.030353806004860588
0.5,0,13.4004,0.9667150342761872,256.3624220382574,0.9938941713593432,31.849591389928413,0.03035250978390527
0.5,0,20.0,0.9667150732891525,256.3624220382574,0.9938941713593432,31.849639561776513,0.030352465101342294
0.05,1,0.001,0.00032474044477973855,255.423003555239,0.9933670712969365,0.0003170024735757487,1.0244098133263961
0.05,1,0.002,0.0006490732437144187,255.423003555239,0.9933670712969365,0.0006336881031263532,1.0242787272037484
0.05,1,0.00298499,0.0009680016272618133,255.423003555239,0.9933670712969365,0.0009453108434463089,1.0240035158517602
0.05,1,0.003,0.0009728574091456603,255.423003555239,0.9933670712969365,0.0009500572053374446,1.0239987694215924
0.05,1,0.00445509,0.0014429633996114993,255.423003555239,0.9933670712969365,0.001409837995538447,1.023495893980642
0.05,1,0.0066492,0.0021496677602118536,255.423003555239,0.9933670712969365,0.002101871304072724,1.0227399537005506
0.05,1,0.0099239,0.0032001671315313824,255.423003555239,0.9933670712969365,0.0031319079857983507,1.0217947481351792
0.05,1,0.01,0.0032245272578660554,255.423003555239,0.9933670712969365,0.003155804690513013,1.0217765591006427
0.05,1,0.0148114,0.0047596998353629455,255.423003555239,0.9933670712969365,0.004662980572582491,1.0207419398976585
0.05,1,0.0221059,0.007069418985698605,255.423003555239,0.9933670712969365,0.006934203595173205,1.0194997722044852
0.05,1,0.03,0.009543999615993209,255.423003555239,0.9933670712969365,0.009373524170556414,1.018186910529583
0.05,1,0.032993,0.01047513911578159,255.423003555239,0.9933670712969365,0.010293354876085497,1.017660349019777
0.05,1,0.0492418,0.015459938144788294,255.423003555239,0.9933670712969365,0.015239294278198603,1.0144786144661138
0.05,1,0.0734932,0.02267663381543964,255.423003555239,0.9933670712969365,0.02247324708182223,1.009050171204762
0.05,1,0.1,0.030266013009071623,255.423003555239,0.9933670712969365,0.030181859775291687,1.0027882057105317
0.05,1,0.109688,0.03296468307019107,255.423003555239,0.9933670712969365,0.03294868953377531,1.0004854073604161
0.05,1,0.163709,0.04731255940292497,255.423003555239,0.9933670712969365,0.047894786715747976,0.9878436182150996
0.05,1,0.244335,0.06669311195561019,255.423003555239,0.9933670712969365,0.06875250948085446,0.9700462202646181
0.05,1,0.3,0.07880068754361476,255.423003555239,0.9933670712969365,0.08220235262900856,0.9586183974472602
0.05,1,0.36467,0.0917039014580984,255.423003555239,0.9933670712969365,0.09691622760256166,0.9462182312147126
0.05,1,0.544268,0.12197855261951873,255.423003555239,0.9933670712969365,0.13312313424599398,0.9162836595637726
0.05,1,0.812317,0.155540776431215,255.423003555239,0.9933670712969365,0.17639590241505637,0.8817709158868688
0.05,1,1.0,0.17306428079556407,255.423003555239,0.9933670712969365,0.20048398933576492,0.8632324275317612
0.05,1,1.21238,0.18861072575808357,255.423003555239,0.9933670712969365,0.22280927805776873,0.8465119917904929
0.05,1,1.80947,0.21642699603427767,255.423003555239,0.9933670712969365,0.26522877455819377,0.8160011914046358
0.05,1,2.70063,0.23520819564023426,255.423003555239,0.9933670712969365,0.2958594577213323,0.7949997524222294
0.05,1,3.0,0.23847812140979147,255.423003555239,0.9933670712969365,0.3013704847775893,0.7913121339197756
0.05,1,4.03068,0.24442057086918162,255.423003555239,0.9933670712969365,0.3115275090225932,0.7845874402425735
0.05,1,6.01577,0.2472257928297767,255.423003555239,0.9933670712969365,0.31638713826122317,0.7814027908607846
0.05,1,8.9785,0.2476473034636702,255.423003555239,0.9933670712969365,0.31712100981409214,0.7809236720356373
0.05,1,10.0,0.24766200939260585,255.423003555239,0.9933670712969365,0.31714660214223933,0.7809070244477353
0.05,1,13.4004,0.24766997512536645,255.423003555239,0.9933670712969365,0.31716052087697433,0.780897869761782
0.05,1,20.0,0.2476702537163459,255.423003555239,0.9933670712969365,0.317161000575701,0.7808975670614684
0.1,1,0.001,0.0012982789349317405,255.423003555239,0.9933670712969365,0.0012680098943029948,1.0238712968761052
0.1,1,0.002,0.0025928878518390376,255.423003555239,0.9933670712969365,0.002534752412505413,1.0229353522051339
0.1,1,0.00298499,0.003863764960589047,255.423003555239,0.9933670712969365,0.0037812433737852355,1.0218239289689526
0.1,1,0.003,0.003883098277345111,255.423003555239,0.9933670712969365,0.0038002288213497782,1.0218064384780647
0.1,1,0.00445509,0.0057523590119152035,255.423003555239,0.9933670712969365,0.005639351982153788,1.0200390098222343
0.1,1,0.0066492,0.008553258380799275,255.423003555239,0.9933670712969365,0.008407485216290896,1.0173384978692463
0.1,1,0.0099239,0.012696242973208274,255.423003555239,0.9933670712969365,0.012527631943193403,1.0134591302473954
0.1,1,0.01,0.012792001782249244,255.423003555239,0.9933670712969365,0.012623218762052052,1.013370838561761
0.1,1,0.0148114,0.018801198339324997,255.423003555239,0.9933670712969365,0.018651922290329963,1.0080032527838927
0.1,1,0.0221059,0.027742707777435927,255.423003555239,0.9933670712969365,0.02773681438069282,1.000212475616782
0.1,1,0.03,0.03719044002736522,255.423003555239,0.9933670712969365,0.037494096682225656,0.9919012142782363
0.1,1,0.032993,0.04071045281726556,255.423003555239,0.9933670712969365,0.04117341950434199,0.9887556901357779
0.1,1,0.0492418,0.05923530345776547,255.423003555239,0.9933670712969365,0.060957177112794414,0.9717527330400683
