arm,sigma_a,rho,object,rel_mse,psnr,gain_rel_mse,n
hadamard_paired+pairwise,0.05,2.70063,8,0.30829242444580346,14.569959589985652,,5
hadamard_paired+pairwise,0.05,2.70063,9,0.2689785952849868,16.703022906282087,,5
hadamard_paired+pairwise,0.05,3.0,0,0.2366665136294261,16.989438474340993,,5
hadamard_paired+pairwise,0.05,3.0,1,0.23847812140979147,17.210703728344562,,5
hadamard_paired+pairwise,0.05,3.0,2,0.2644812135604935,17.286080580301757,,5
hadamard_paired+pairwise,0.05,3.0,3,0.2572805614458099,16.153905773608376,,5
hadamard_paired+pairwise,0.05,3.0,4,0.22244770196450436,21.04016410281589,,5
hadamard_paired+pairwise,0.05,3.0,5,0.2868156422734645,14.79995229612762,,5
hadamard_paired+pairwise,0.05,3.0,6,0.29780746984448164,14.021909583864195,,5
hadamard_paired+pairwise,0.05,3.0,7,0.32863238246313387,13.75123130716734,,5
hadamard_paired+pairwise,0.05,3.0,8,0.31212536715102035,14.516310487550765,,5
hadamard_paired+pairwise,0.05,3.0,9,0.27260048592378744,16.644981383501637,,5
hadamard_paired+pairwise,0.05,4.03068,0,0.24249845148511834,16.883730406858156,,5
hadamard_paired+pairwise,0.05,4.03068,1,0.24442057086918162,17.103922558107563,,5
hadamard_paired+pairwise,0.05,4.03068,2,0.2708299084389424,17.18310727008815,,5
hadamard_paired+pairwise,0.05,4.03068,3,0.2635053788695549,16.050115455625644,,5
hadamard_paired+pairwise,0.05,4.03068,4,0.2281424292967254,20.93047020598679,,5
hadamard_paired+pairwise,0.05,4.03068,5,0.29351179921014137,14.699788987718449,,5
hadamard_paired+pairwise,0.05,4.03068,6,0.3046614510626467,13.92312228651276,,5
hadamard_paired+pairwise,0.05,4.03068,7,0.3357597921077843,13.658010273695595,,5
hadamard_paired+pairwise,0.05,4.03068,8,0.31906807176561125,14.420788358603792,,5
hadamard_paired+pairwise,0.05,4.03068,9,0.27918402188655006,16.541423845080192,,5
hadamard_paired+pairwise,0.05,6.01577,0,0.2452530428061706,16.834684344511977,,5
hadamard_paired+pairwise,0.05,6.01577,1,0.2472257928297767,17.054414742698977,,5
hadamard_paired+pairwise,0.05,6.01577,2,0.27382374473802507,17.135385241752836,,5
hadamard_paired+pairwise,0.05,6.01577,3,0.26644066022128976,16.002024147543416,,5
hadamard_paired+pairwise,0.05,6.01577,4,0.2308359284542004,20.87953963609546,,5
hadamard_paired+pairwise,0.05,6.01577,5,0.29666892394823685,14.653353653966693,,5
hadamard_paired+pairwise,0.05,6.01577,6,0.30789533770072014,13.8772800202145,,5
hadamard_paired+pairwise,0.05,6.01577,7,0.33910601203858787,13.614924291080658,,5
hadamard_paired+pairwise,0.05,6.01577,8,0.32233552172531726,14.376548514855639,,5
hadamard_paired+pairwise,0.05,6.01577,9,0.2822928166482951,16.493367498914363,,5
hadamard_paired+pairwise,0.05,8.9785,0,0.2456670609176578,16.82736044584583,,5
hadamard_paired+pairwise,0.05,8.9785,1,0.2476473034636702,17.04702436787193,,5
hadamard_paired+pairwise,0.05,8.9785,2,0.2742734319729531,17.128262388950034,,5
hadamard_paired+pairwise,0.05,8.9785,3,0.26688154818629556,15.9948466375196,,5
hadamard_paired+pairwise,0.05,8.9785,4,0.231240970063383,20.87193239015992,,5
hadamard_paired+pairwise,0.05,8.9785,5,0.2971431169553752,14.646421872709263,,5
