object,family,K_eff,basis,requested_basis,num_frames,window,carrier_mean,carrier_cv,adjacent_window_ks_d_mean,adjacent_window_ks_p_median,levene_p,ks_absdev_p,local_std_envelope_cv,running_mean_cv,running_mean_cv_incl_transient
digit_0,synthetic_digit,359.91159294611685,hadamard_random_paired,hadamard_shuffled,8192,64,156.9936065673828,0.05271109566092491,0.027064732142857144,1.0,0.21819279236393868,0.1426043426418189,0.15862573480097888,0.0008255381835624576,0.0008613620884716511
digit_1,synthetic_digit,613.715691926159,hadamard_random_paired,hadamard_shuffled,8192,64,298.666748046875,0.04036605730652809,0.028738839285714284,0.7357588823428847,0.4329253783719993,0.2106117312437866,0.20110391713240072,0.0006163847865536809,0.000620733480900526
digit_2,synthetic_digit,948.8780926075453,hadamard_random_paired,hadamard_shuffled,8192,64,466.2586669921875,0.03246345743536949,0.023297991071428572,1.0,0.00046079452179695254,0.2761807002659681,0.8998240600700441,0.0005033024353906512,0.0004994657938368618
digit_3,synthetic_digit,638.5224343850998,hadamard_random_paired,hadamard_shuffled,8192,64,310.80633544921875,0.03957417607307434,0.018694196428571428,1.0,0.8092784929938176,0.4813104546945413,0.248526500708541,0.000610397954005748,0.0006088288500905037
digit_4,synthetic_digit,402.4249507149198,hadamard_random_paired,hadamard_shuffled,8192,64,176.43954467773438,0.049849122762680054,0.024832589285714284,0.9814081195348825,0.09404249346600674,0.15768020016074424,0.2129965533307245,0.0008218163275159895,0.0008446641149930656
letter_A,binary_letter,391.79043070245797,hadamard_random_paired,hadamard_shuffled,8192,64,182.93136596679688,0.050521135330200195,0.021763392857142856,1.0,0.5481349395611543,0.5881996235329463,0.18351995916860647,0.0008022382971830666,0.0008058519451878965
letter_L,binary_letter,238.05133542118594,hadamard_random_paired,hadamard_shuffled,8192,64,113.45883178710938,0.06481338292360306,0.021902901785714284,1.0,0.10286011655652844,0.2528489707948772,0.1689177731393293,0.001017267699353397,0.0010143575491383672
stripe,stripe,2048.0,hadamard_random_paired,hadamard_shuffled,8192,64,1024.0,0.022097086533904076,0.0005580357142857143,1.0,0.00021599614175305784,1.0,2.6457513110645907,0.00034264326677657664,0.00033995581907220185
ring,ring,868.0,hadamard_random_paired,hadamard_shuffled,8192,64,434.0,0.03394221141934395,0.015904017857142856,1.0,0.3624419959891972,0.02493126690731387,0.3005709540395891,0.0005158663843758404,0.0005220791790634394
natural_patch,procedural_natural,3237.768951772969,hadamard_random_paired,hadamard_shuffled,8192,64,669.1376953125,0.017574261873960495,0.023995535714285716,0.9814081195348825,0.2587644748489359,0.15768020016074424,1.004451182041861,0.0002722858334891498,0.00027039716951549053
digit_0,synthetic_digit,359.91159294611685,srht_paired,srht_paired,8192,64,156.99362182617188,0.052711088210344315,0.0283203125,0.7824467719566824,0.0017091239578894107,0.059439347248463524,0.039701565924572337,0.0008718266617506742,0.0008816135232336819
digit_1,synthetic_digit,613.715691926159,srht_paired,srht_paired,8192,64,298.6667175292969,0.04036606103181839,0.023018973214285716,1.0,0.7797149884531677,0.4813104546945413,0.011476552829436803,0.0010041882051154971,0.0010129669681191444
digit_2,synthetic_digit,948.8780926075453,srht_paired,srht_paired,8192,64,466.2586669921875,0.03246345743536949,0.029715401785714284,1.0,0.00017268773509668102,0.19162747608137745,0.043891529634044926,0.0006837547407485545,0.0009750343742780387
