sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points,rho_lower_bound,rho_upper_bound,rho_interval_midpoint,interval_kind,rho_grid_min,rho_grid_max
0.1,scgi_proxy,srht_paired,hadamard_paired,0.1,observed,0.11857695496637,-0.1224470504766088,7,0.03,0.1,0.05477225575051661,closed_interval,0.001,1.0
0.15,agc,random_uniform,hadamard_paired,,not_reached,-0.8531168612222153,-10.22297720699376,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,agc,random_binary,hadamard_paired,,not_reached,-0.3270754648653806,-9.693984972065188,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.5408508837958532,-2.884767323391813,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,agc,dct_paired,hadamard_paired,,not_reached,-0.61527712690385,-2.291509124281969,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,agc,srht_paired,hadamard_paired,0.001,left_censored,10.079373980663,0.421790340799749,7,,0.001,0.001,upper_bound,0.001,1.0
0.15,none,random_uniform,hadamard_paired,,not_reached,-1.153826226482325,-19.03655784221528,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,none,random_binary,hadamard_paired,,not_reached,-0.6081144461718946,-17.93039353013034,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,none,fourier_fourstep,hadamard_paired,,not_reached,-0.5146705671777116,-10.49672350528184,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,none,dct_paired,hadamard_paired,,not_reached,-0.4146578376213305,-2.1164756121173163,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,none,srht_paired,hadamard_paired,0.03,observed,0.1263313610839329,-0.1492691450617194,7,0.01,0.03,0.017320508075688773,closed_interval,0.001,1.0
0.15,pairwise,dct_paired,hadamard_paired,,not_reached,-0.7094851163634264,-3.000764860572822,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0997200209111905,0.0174574778948439,7,,0.001,0.001,upper_bound,0.001,1.0
0.15,reference_k2,random_uniform,hadamard_paired,,not_reached,-1.4243101099082462,-22.76945389351005,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k2,random_binary,hadamard_paired,,not_reached,-0.4697102343338795,-22.86216311574711,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.374883017113591,-18.052546162118105,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.0002095059291634,-3.0059226475141045,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.0796664272633265,0.0161402594713848,7,,0.001,0.001,upper_bound,0.001,1.0
0.15,reference_k32,random_uniform,hadamard_paired,,not_reached,-1.291503840250213,-20.27715586921877,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k32,random_binary,hadamard_paired,,not_reached,-0.8913571836553338,-20.02932340113246,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.4962157759300982,-15.16881989393524,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.6631239930964039,-2.904727208285294,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k32,srht_paired,hadamard_paired,0.3,observed,0.0866089616928089,-0.1172394416192474,7,0.1,0.3,0.17320508075688773,closed_interval,0.001,1.0
0.15,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.230721566497662,-20.408912637076966,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k8,random_binary,hadamard_paired,,not_reached,-0.7368276115961816,-20.411447835467637,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.5103054426423927,-15.671737668046797,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.6906481164677416,-3.0010039974409253,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,reference_k8,srht_paired,hadamard_paired,0.03,observed,0.1200873349438573,-0.0287171354229442,7,0.01,0.03,0.017320508075688773,closed_interval,0.001,1.0
0.15,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-1.1533498300864693,-18.93734097987053,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.6077429056448711,-17.792262387997233,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.5146705813086054,-10.47642616667632,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.4698364439447751,-2.123802075096375,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.3028051033575174,-0.0668208673887065,7,,0.001,0.001,upper_bound,0.001,1.0
0.15,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-1.1611225988195797,-20.266378838117497,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.6362658350084391,-19.89682086232961,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.6130611843438096,-13.918724157542956,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.680349266146484,-2.7830554335553157,7,1.0,,1.0,lower_bound,0.001,1.0
0.15,scgi_proxy,srht_paired,hadamard_paired,0.03,observed,0.1151498931625951,-0.1148911938999006,7,0.01,0.03,0.017320508075688773,closed_interval,0.001,1.0
0.3,agc,random_uniform,hadamard_paired,,not_reached,-0.2254268589172205,-10.185183057919488,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,agc,random_binary,hadamard_paired,,not_reached,-0.0674473052538324,-9.221925126198965,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.1390742350469267,-2.773532309782098,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,agc,dct_paired,hadamard_paired,,not_reached,-0.1636705546483572,-2.236249921528593,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,agc,srht_paired,hadamard_paired,0.001,left_censored,5.38942236293126,0.151603542326681,7,,0.001,0.001,upper_bound,0.001,1.0
0.3,none,random_uniform,hadamard_paired,,not_reached,-0.302875997644529,-13.79716918690674,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,none,random_binary,hadamard_paired,,not_reached,-0.1368413954862113,-13.225670356712923,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,none,fourier_fourstep,hadamard_paired,,not_reached,-0.1241629322044044,-5.129701096254102,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,none,dct_paired,hadamard_paired,,not_reached,-0.1834966797275985,-1.5114749574154978,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,none,srht_paired,hadamard_paired,0.001,left_censored,0.1477387810694832,-0.044694984415603,7,,0.001,0.001,upper_bound,0.001,1.0
0.3,pairwise,dct_paired,hadamard_paired,,not_reached,-0.212343906566673,-2.953783978099672,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0815146309965531,0.0262859933346533,7,,0.001,0.001,upper_bound,0.001,1.0
0.3,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.4273466597314428,-16.856471512874663,7,1.0,,1.0,lower_bound,0.001,1.0
