basis,rho,object,fit_max_W,slope_log_err_vs_log_W,W,object_mean_err,object_std_err,relative_spread
random_uniform,0.001,digit_3,32,-0.32888298310971337,4,0.03161259522737479,0.020258173581480677,0.6408260200016163
random_uniform,0.001,digit_3,32,-0.32888298310971337,8,0.023719959470410376,0.014817225108522604,0.6246732894719509
random_uniform,0.001,digit_3,32,-0.32888298310971337,16,0.017892964486346925,0.010347968034823685,0.5783260813332309
random_uniform,0.001,digit_3,32,-0.32888298310971337,32,0.014844837850594724,0.006914957359259963,0.4658156208141358
random_uniform,0.001,digit_3,32,-0.32888298310971337,64,0.014274898440496883,0.003921594483597028,0.27471960658380173
random_uniform,0.001,digit_3,32,-0.32888298310971337,128,0.016855571114221753,0.0024361505212168615,0.1445308797137926
random_uniform,0.001,digit_3,32,-0.32888298310971337,256,0.0223456048857799,0.002358733312138252,0.10555692379754204
random_uniform,0.001,digit_3,32,-0.32888298310971337,512,0.03177113146746617,0.0026818924254167443,0.08441287110479583
random_uniform,0.001,digit_3,32,-0.32888298310971337,1024,0.04232505962118357,0.002817995678480905,0.06657983954901522
random_uniform,0.001,digit_4,32,-0.38655040620088876,4,0.03161259522737479,0.020258173581480677,0.6408260200016163
random_uniform,0.001,digit_4,32,-0.38655040620088876,8,0.023719959470410376,0.014817225108522604,0.6246732894719509
random_uniform,0.001,digit_4,32,-0.38655040620088876,16,0.017892964486346925,0.010347968034823685,0.5783260813332309
random_uniform,0.001,digit_4,32,-0.38655040620088876,32,0.014844837850594724,0.006914957359259963,0.4658156208141358
random_uniform,0.001,digit_4,32,-0.38655040620088876,64,0.014274898440496883,0.003921594483597028,0.27471960658380173
random_uniform,0.001,digit_4,32,-0.38655040620088876,128,0.016855571114221753,0.0024361505212168615,0.1445308797137926
random_uniform,0.001,digit_4,32,-0.38655040620088876,256,0.0223456048857799,0.002358733312138252,0.10555692379754204
random_uniform,0.001,digit_4,32,-0.38655040620088876,512,0.03177113146746617,0.0026818924254167443,0.08441287110479583
random_uniform,0.001,digit_4,32,-0.38655040620088876,1024,0.04232505962118357,0.002817995678480905,0.06657983954901522
random_uniform,0.001,letter_A,32,-0.4448887124267938,4,0.03161259522737479,0.020258173581480677,0.6408260200016163
random_uniform,0.001,letter_A,32,-0.4448887124267938,8,0.023719959470410376,0.014817225108522604,0.6246732894719509
random_uniform,0.001,letter_A,32,-0.4448887124267938,16,0.017892964486346925,0.010347968034823685,0.5783260813332309
random_uniform,0.001,letter_A,32,-0.4448887124267938,32,0.014844837850594724,0.006914957359259963,0.4658156208141358
random_uniform,0.001,letter_A,32,-0.4448887124267938,64,0.014274898440496883,0.003921594483597028,0.27471960658380173
random_uniform,0.001,letter_A,32,-0.4448887124267938,128,0.016855571114221753,0.0024361505212168615,0.1445308797137926
random_uniform,0.001,letter_A,32,-0.4448887124267938,256,0.0223456048857799,0.002358733312138252,0.10555692379754204
random_uniform,0.001,letter_A,32,-0.4448887124267938,512,0.03177113146746617,0.0026818924254167443,0.08441287110479583
random_uniform,0.001,letter_A,32,-0.4448887124267938,1024,0.04232505962118357,0.002817995678480905,0.06657983954901522
random_uniform,0.001,letter_L,32,-0.42561839471846996,4,0.03161259522737479,0.020258173581480677,0.6408260200016163
random_uniform,0.001,letter_L,32,-0.42561839471846996,8,0.023719959470410376,0.014817225108522604,0.6246732894719509
random_uniform,0.001,letter_L,32,-0.42561839471846996,16,0.017892964486346925,0.010347968034823685,0.5783260813332309
random_uniform,0.001,letter_L,32,-0.42561839471846996,32,0.014844837850594724,0.006914957359259963,0.4658156208141358
random_uniform,0.001,letter_L,32,-0.42561839471846996,64,0.014274898440496883,0.003921594483597028,0.27471960658380173
random_uniform,0.001,letter_L,32,-0.42561839471846996,128,0.016855571114221753,0.0024361505212168615,0.1445308797137926
random_uniform,0.001,letter_L,32,-0.42561839471846996,256,0.0223456048857799,0.002358733312138252,0.10555692379754204
random_uniform,0.001,letter_L,32,-0.42561839471846996,512,0.03177113146746617,0.0026818924254167443,0.08441287110479583
random_uniform,0.001,letter_L,32,-0.42561839471846996,1024,0.04232505962118357,0.002817995678480905,0.06657983954901522
random_uniform,0.001,natural_patch,32,-0.06420702455443247,4,0.03161259522737479,0.020258173581480677,0.6408260200016163
random_uniform,0.001,natural_patch,32,-0.06420702455443247,8,0.023719959470410376,0.014817225108522604,0.6246732894719509
random_uniform,0.001,natural_patch,32,-0.06420702455443247,16,0.017892964486346925,0.010347968034823685,0.5783260813332309
random_uniform,0.001,natural_patch,32,-0.06420702455443247,32,0.014844837850594724,0.006914957359259963,0.4658156208141358
random_uniform,0.001,natural_patch,32,-0.06420702455443247,64,0.014274898440496883,0.003921594483597028,0.27471960658380173
random_uniform,0.001,natural_patch,32,-0.06420702455443247,128,0.016855571114221753,0.0024361505212168615,0.1445308797137926
random_uniform,0.001,natural_patch,32,-0.06420702455443247,256,0.0223456048857799,0.002358733312138252,0.10555692379754204
random_uniform,0.001,natural_patch,32,-0.06420702455443247,512,0.03177113146746617,0.0026818924254167443,0.08441287110479583
random_uniform,0.001,natural_patch,32,-0.06420702455443247,1024,0.04232505962118357,0.002817995678480905,0.06657983954901522
random_uniform,0.001,ring,32,-0.2554332171554504,4,0.03161259522737479,0.020258173581480677,0.6408260200016163
random_uniform,0.001,ring,32,-0.2554332171554504,8,0.023719959470410376,0.014817225108522604,0.6246732894719509
random_uniform,0.001,ring,32,-0.2554332171554504,16,0.017892964486346925,0.010347968034823685,0.5783260813332309
random_uniform,0.001,ring,32,-0.2554332171554504,32,0.014844837850594724,0.006914957359259963,0.4658156208141358
random_uniform,0.001,ring,32,-0.2554332171554504,64,0.014274898440496883,0.003921594483597028,0.27471960658380173
random_uniform,0.001,ring,32,-0.2554332171554504,128,0.016855571114221753,0.0024361505212168615,0.1445308797137926
random_uniform,0.001,ring,32,-0.2554332171554504,256,0.0223456048857799,0.002358733312138252,0.10555692379754204
random_uniform,0.001,ring,32,-0.2554332171554504,512,0.03177113146746617,0.0026818924254167443,0.08441287110479583
random_uniform,0.001,ring,32,-0.2554332171554504,1024,0.04232505962118357,0.002817995678480905,0.06657983954901522
random_uniform,0.001,stripe,32,-0.13493033304172272,4,0.03161259522737479,0.020258173581480677,0.6408260200016163
random_uniform,0.001,stripe,32,-0.13493033304172272,8,0.023719959470410376,0.014817225108522604,0.6246732894719509
random_uniform,0.001,stripe,32,-0.13493033304172272,16,0.017892964486346925,0.010347968034823685,0.5783260813332309
random_uniform,0.001,stripe,32,-0.13493033304172272,32,0.014844837850594724,0.006914957359259963,0.4658156208141358
random_uniform,0.001,stripe,32,-0.13493033304172272,64,0.014274898440496883,0.003921594483597028,0.27471960658380173
random_uniform,0.001,stripe,32,-0.13493033304172272,128,0.016855571114221753,0.0024361505212168615,0.1445308797137926
random_uniform,0.001,stripe,32,-0.13493033304172272,256,0.0223456048857799,0.002358733312138252,0.10555692379754204
random_uniform,0.001,stripe,32,-0.13493033304172272,512,0.03177113146746617,0.0026818924254167443,0.08441287110479583
random_uniform,0.001,stripe,32,-0.13493033304172272,1024,0.04232505962118357,0.002817995678480905,0.06657983954901522
srht_paired,0.001,digit_0,32,-0.6212551281476678,4,0.024490821099255888,0.015621226411400851,0.6378400441574201
srht_paired,0.001,digit_0,32,-0.6212551281476678,8,0.014426039269965923,0.0083925714930241,0.5817654683983073
srht_paired,0.001,digit_0,32,-0.6212551281476678,16,0.009718556373919371,0.003846032452700277,0.3957411270486072
srht_paired,0.001,digit_0,32,-0.6212551281476678,32,0.009441739220691383,0.0015922682512860334,0.16864141384000622
srht_paired,0.001,digit_0,32,-0.6212551281476678,64,0.012074253258332565,0.0011889075769596082,0.0984663441723927
srht_paired,0.001,digit_0,32,-0.6212551281476678,128,0.016508523956793246,0.0016589223221982257,0.1004888339224041
srht_paired,0.001,digit_0,32,-0.6212551281476678,256,0.022849711130617588,0.002615901859798555,0.1144829291208572
srht_paired,0.001,digit_0,32,-0.6212551281476678,512,0.03289431269875291,0.0027873854760347987,0.0847376110746486
srht_paired,0.001,digit_0,32,-0.6212551281476678,1024,0.04413378963503854,0.003431836117265884,0.07775983312661854
srht_paired,0.001,digit_1,32,-0.3457505290183141,4,0.024490821099255888,0.015621226411400851,0.6378400441574201
srht_paired,0.001,digit_1,32,-0.3457505290183141,8,0.014426039269965923,0.0083925714930241,0.5817654683983073
srht_paired,0.001,digit_1,32,-0.3457505290183141,16,0.009718556373919371,0.003846032452700277,0.3957411270486072
srht_paired,0.001,digit_1,32,-0.3457505290183141,32,0.009441739220691383,0.0015922682512860334,0.16864141384000622
srht_paired,0.001,digit_1,32,-0.3457505290183141,64,0.012074253258332565,0.0011889075769596082,0.0984663441723927
srht_paired,0.001,digit_1,32,-0.3457505290183141,128,0.016508523956793246,0.0016589223221982257,0.1004888339224041
srht_paired,0.001,digit_1,32,-0.3457505290183141,256,0.022849711130617588,0.002615901859798555,0.1144829291208572
srht_paired,0.001,digit_1,32,-0.3457505290183141,512,0.03289431269875291,0.0027873854760347987,0.0847376110746486
srht_paired,0.001,digit_1,32,-0.3457505290183141,1024,0.04413378963503854,0.003431836117265884,0.07775983312661854
srht_paired,0.001,digit_2,32,-0.2440394502197014,4,0.024490821099255888,0.015621226411400851,0.6378400441574201
srht_paired,0.001,digit_2,32,-0.2440394502197014,8,0.014426039269965923,0.0083925714930241,0.5817654683983073
srht_paired,0.001,digit_2,32,-0.2440394502197014,16,0.009718556373919371,0.003846032452700277,0.3957411270486072
