config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0008,1,7.5992431640625,7.5992431640625,4.9277849197387695,4.9277849197387695,0.16564945876598358,38,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.065
cfg0021,1,7.558047771453857,7.558047771453857,6.2928009033203125,6.2928009033203125,0.18435567617416382,38,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.055
cfg0024,1,7.495840549468994,7.495840549468994,4.945468902587891,4.945468902587891,0.173837348818779,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.055
cfg0045,1,7.476449012756348,7.476449012756348,4.922138690948486,4.922138690948486,0.17869310081005096,40,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.055
cfg0004,1,7.4537787437438965,7.4537787437438965,6.28694486618042,6.28694486618042,0.18178264796733856,38,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0030,1,7.414361476898193,7.414361476898193,3.666071891784668,3.666071891784668,0.15124528110027313,40,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.055
cfg0079,1,7.361508369445801,7.361508369445801,2.841435432434082,2.841435432434082,0.10303744673728943,42,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0007,1,7.3347063064575195,7.3347063064575195,4.942681789398193,4.942681789398193,0.1713268756866455,38,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0080,1,7.24806022644043,7.24806022644043,2.8291726112365723,2.8291726112365723,0.09999483823776245,42,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.065
cfg0028,1,7.240782260894775,7.240782260894775,4.919504165649414,4.919504165649414,0.17659103870391846,40,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.06
cfg0015,1,7.100930690765381,7.100930690765381,4.950493335723877,4.950493335723877,0.17452797293663025,38,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.055
cfg0010,1,7.073297023773193,7.073297023773193,8.158711433410645,8.158711433410645,0.19012856483459473,38,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.06
cfg0071,1,7.07092809677124,7.07092809677124,2.8332200050354004,2.8332200050354004,0.1009766161441803,42,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.065
cfg0070,1,6.9642744064331055,6.9642744064331055,2.843971014022827,2.843971014022827,0.10361486673355103,42,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0036,1,6.942698955535889,6.942698955535889,4.9256463050842285,4.9256463050842285,0.17914964258670807,40,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.055
cfg0033,1,6.941148281097412,6.941148281097412,3.1926050186157227,3.1926050186157227,0.1262778639793396,40,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.055
cfg0012,1,6.9332780838012695,6.9332780838012695,6.297080993652344,6.297080993652344,0.1851176619529724,38,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.055
cfg0002,1,6.886068820953369,6.886068820953369,8.135737419128418,8.135737419128418,0.18613246083259583,38,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.065
