config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0010,10,10,20240710,stripe_target,1,scgi_ured,38,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.06,7.073297023773193,8.158711433410645,0.19012856483459473,0.004685699939727783,0.9740428844495653,7.073297023773193,0.006708424538373947,0.4478544592857361,0.10310160368680954,0.11215434223413467,0.8263034820556641,0.7141491174697876,0.10114864259958267,0.017745183780789375,0.010429887101054192,0.5161290168762207,0.21319580078125,1.8099801540374756,0.0002271830744575709,0.006481241434812546,0.00404794467613101,0.001031971536576748,0.121646448969841
cfg0011,11,11,20240710,stripe_target,1,scgi_ured,38,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.065,7.899343013763428,8.127459526062012,0.18406899273395538,0.004685699939727783,0.9740428844495653,7.899343013763428,0.0068988315761089325,0.44745075702667236,0.09958594292402267,0.16298535466194153,0.7804048657417297,0.6174194812774658,0.09131424874067307,0.015797868371009827,0.009864350780844688,0.4838709533214569,0.21710205078125,1.6900166273117065,0.0002271269477205351,0.006671704817563295,0.0047403788194060326,0.0010668571339920163,0.12272463738918304
cfg0012,12,12,20240710,stripe_target,1,scgi_ured,38,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.055,6.9332780838012695,6.297080993652344,0.1851176619529724,0.004685699939727783,0.9740428844495653,6.9332780838012695,0.0018700601067394018,0.5885838270187378,0.11090684682130814,0.24289532005786896,1.0,0.7571046948432922,0.09507600963115692,0.017502833157777786,0.012070448137819767,0.6451612710952759,0.21722412109375,1.8560043573379517,0.00022747341427020729,0.001642586663365364,0.003193180076777935,0.002095002681016922,0.0665023922920227
cfg0013,13,13,20240710,stripe_target,1,scgi_ured,38,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,8.573328018188477,6.2825446128845215,0.18037307262420654,0.004685699939727783,0.9740428844495653,8.573328018188477,0.0020989051554352045,0.5883338451385498,0.10676927119493484,0.26179882884025574,0.9419904351234436,0.6801916360855103,0.0826282948255539,0.014867660589516163,0.011484633199870586,0.6451612710952759,0.214111328125,1.7224138975143433,0.0002273814898217097,0.00187152368016541,0.00405164435505867,0.0021502035669982433,0.07099923491477966
cfg0014,14,14,20240710,stripe_target,1,scgi_ured,38,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.065,8.96325969696045,6.25847864151001,0.1736152172088623,0.004685699939727783,0.9740428844495653,8.96325969696045,0.002240007044747472,0.587887167930603,0.10354136675596237,0.32795989513397217,0.903387188911438,0.5754272937774658,0.07580828666687012,0.013324089348316193,0.010848574340343475,0.6451612710952759,0.2132568359375,1.6738836765289307,0.0002273143909405917,0.0020126926247030497,0.004762725904583931,0.0022030030377209187,0.07365532219409943
cfg0015,15,15,20240710,stripe_target,1,scgi_ured,38,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.055,7.100930690765381,4.950493335723877,0.17452797293663025,0.004685699939727783,0.9740428844495653,7.139907360076904,0.007204971741884947,0.6905238628387451,0.11429135501384735,0.34885039925575256,1.0,0.6511496305465698,0.08852504193782806,0.015772642567753792,0.0126606160774827,0.774193525314331,0.2130126953125,1.94768226146698,0.0002276203886140138,0.0069773513823747635,0.003125928109511733,0.0028529372066259384,0.14935535192489624
cfg0016,16,16,20240710,stripe_target,1,scgi_ured,38,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.06,8.141669273376465,4.93814754486084,0.16991016268730164,0.004685699939727783,0.9740428844495653,8.771954536437988,0.007396507542580366,0.690415620803833,0.11071706563234329,0.3697550892829895,1.0,0.6302449107170105,0.07788068056106567,0.013507446274161339,0.01215107087045908,0.7419354915618896,0.21514892578125,1.8581247329711914,0.00022751593496650457,0.00716899149119854,0.004030581563711166,0.002921902574598789,0.1498967409133911
cfg0017,17,17,20240710,stripe_target,1,scgi_ured,38,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.065,8.114839553833008,4.921205520629883,0.1631697118282318,0.004685699939727783,0.9740428844495653,9.208126068115234,0.007480424828827381,0.6898801922798157,0.10762743651866913,0.4432169198989868,1.0,0.5567830801010132,0.07201611250638962,0.012098057195544243,0.011456790380179882,0.7419354915618896,0.214111328125,1.843109130859375,0.00022744914167560637,0.007252975832670927,0.004782113246619701,0.0029845312237739563,0.15006686747074127
cfg0018,18,18,20240710,stripe_target,1,scgi_ured,38,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.055,6.321343898773193,8.173096656799316,0.1935901939868927,0.004685699939727783,0.9740428844495653,6.321343898773193,0.006704165134578943,0.44819262623786926,0.10581132024526596,0.10009968280792236,0.8698695302009583,0.7697698473930359,0.10458485782146454,0.019482770934700966,0.010810964740812778,0.5161290168762207,0.21435546875,1.8402910232543945,0.00022722722496837378,0.006476937793195248,0.0032528406009078026,0.001008794642984867,0.12181596457958221
cfg0019,19,19,20240710,stripe_target,1,scgi_ured,38,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.06,7.929291725158691,8.15244197845459,0.18873685598373413,0.004685699939727783,0.9740428844495653,7.929291725158691,0.006999084260314703,0.44786226749420166,0.10136985778808594,0.1184983178973198,0.8112471699714661,0.6927488446235657,0.0904441550374031,0.01658264361321926,0.010269228368997574,0.5161290168762207,0.21258544921875,1.6427743434906006,0.0002271315606776625,0.006771952845156193,0.004061978310346603,0.0010476908646523952,0.12350587546825409
