sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,max_margin_db_above_floor,min_margin_db_above_floor,points,above_floor_points,sub_floor_points,rho_min,rho_max,above_floor_rho_min,above_floor_rho_max,above_floor_rel_mse
0.15,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.45170740985929747,-2.904727208285294,-1.2321977949229357,-2.904727208285294,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k32,srht_paired,hadamard_paired,0.10102614380182397,observed,0.08660896169280896,-0.11723944161924749,0.05413061029908839,-0.11723944161924749,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.7689441453660333,-20.408912637076966,-2.6675678256131334,-20.408912637076966,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k8,random_binary,hadamard_paired,,not_reached,-0.3260617429796948,-20.411447835467634,-1.9207362368205096,-20.411447835467634,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.16449724318711567,-15.671737668046795,-1.3081342861453855,-15.671737668046795,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.4704763949880384,-3.0010039974409253,-1.3153346213033803,-3.0010039974409253,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k8,srht_paired,hadamard_paired,0.013824124696816745,observed,0.12008733494385737,-0.028717135422944295,0.10343795930380395,-0.028717135422944295,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.6693071350277222,-20.266378838117497,-2.6718979330102535,-20.266378838117497,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.14379307465193136,-19.896820862329612,-2.1250161265048,-19.896820862329612,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.22992852827611543,-13.918724157542957,-1.4674135316412986,-13.918724157542957,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.47155608677119254,-2.7830554335553153,-1.232816442576416,-2.7830554335553153,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,scgi_proxy,srht_paired,hadamard_paired,0.024286034506079225,observed,0.11514989316259694,-0.11489119389990066,0.11514989316259694,-0.11489119389990066,9,6,3,0.001,10.0,0.001,0.3,0.5
0.3,agc,random_uniform,hadamard_paired,,not_reached,-0.11350586641201943,-10.18518305791949,-3.862022804172172,-10.18518305791949,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,agc,random_binary,hadamard_paired,,not_reached,0.04493973032715459,-9.221925126198963,-3.5085436823655307,-9.221925126198963,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.04797213447384685,-2.773532309782098,-1.9478058298243361,-2.773532309782098,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,agc,dct_paired,hadamard_paired,,not_reached,-0.10389789570868402,-2.236249921528593,-1.589928294769786,-2.236249921528593,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,agc,srht_paired,hadamard_paired,0.001,left_censored,5.38942236293126,0.10566641780750885,5.38942236293126,0.893879281815142,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,none,random_uniform,hadamard_paired,,not_reached,-0.16433794222995424,-13.797169186906734,-4.343435108278074,-13.797169186906734,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,none,random_binary,hadamard_paired,,not_reached,0.002123669510217141,-13.225670356712923,-4.128413098423412,-13.225670356712923,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,none,fourier_fourstep,hadamard_paired,,not_reached,-0.01835740358859006,-5.129701096254099,-1.8993206086042154,-5.129701096254099,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,none,dct_paired,hadamard_paired,,not_reached,-0.11685181679144563,-1.5114749574154978,-0.6227344294857033,-1.5114749574154978,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,none,srht_paired,hadamard_paired,0.001,left_censored,0.14773878106948146,-0.044694984415603045,0.10938809193399024,-0.044694984415603045,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,pairwise,dct_paired,hadamard_paired,,not_reached,-0.13718276747641944,-2.9537839780996684,-1.881774913420104,-2.9537839780996684,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0815146309965531,0.026285993334653313,0.07520675312088443,0.026285993334653313,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.23043881684398038,-16.856471512874663,-2.4049466781670414,-16.856471512874663,9,5,4,0.001,10.0,0.001,0.1,0.5
0.3,reference_k2,random_binary,hadamard_paired,,not_reached,-0.005701957880869912,-16.895987088867876,-1.2524423897368315,-16.895987088867876,9,5,4,0.001,10.0,0.001,0.1,0.5
0.3,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.025264322861454858,-12.248613513566934,-0.8039754357704414,-12.248613513566934,9,5,4,0.001,10.0,0.001,0.1,0.5
0.3,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.16834714466506995,-2.989936660919515,-1.5648830638484874,-2.989936660919515,9,5,4,0.001,10.0,0.001,0.1,0.5
