config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance
cfg0125,1,5.902048110961914,5.902048110961914,4.929840087890625,4.929840087890625,0.17085658013820648,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,7,6
cfg0055,1,5.875253677368164,5.875253677368164,7.421465873718262,7.421465873718262,0.14303529262542725,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,3,6
cfg0089,1,5.860774993896484,5.860774993896484,6.336845874786377,6.336845874786377,0.17637605965137482,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,7,6
cfg0034,1,5.857634544372559,5.857634544372559,9.424306869506836,9.424306869506836,0.171076700091362,34,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,7,4
cfg0008,1,5.855605602264404,5.855605602264404,9.362509727478027,9.362509727478027,0.163615882396698,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,5,4
cfg0094,1,5.854862689971924,5.854862689971924,6.314993858337402,6.314993858337402,0.16800382733345032,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,7,4
cfg0032,1,5.847269058227539,5.847269058227539,9.335651397705078,9.335651397705078,0.16036826372146606,34,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,5,4
cfg0130,1,5.828792572021484,5.828792572021484,4.915476322174072,4.915476322174072,0.16320748627185822,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,7,4
cfg0010,1,5.809611797332764,5.809611797332764,9.44396686553955,9.44396686553955,0.17331314086914062,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,7,4
cfg0067,1,5.805352687835693,5.805352687835693,6.193299293518066,6.193299293518066,0.13598023355007172,36,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,3,6
cfg0091,1,5.798598766326904,5.798598766326904,6.173787593841553,6.173787593841553,0.13052712380886078,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,3,6
cfg0097,1,5.752914905548096,5.752914905548096,4.867897987365723,4.867897987365723,0.14612677693367004,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,3,6
cfg0043,1,5.7292985916137695,5.7292985916137695,8.39192008972168,8.39192008972168,0.13564139604568481,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,3,6
cfg0019,1,5.630521774291992,5.630521774291992,8.42429256439209,8.42429256439209,0.1409926861524582,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,3,6
cfg0143,1,5.62903356552124,5.62903356552124,4.167133331298828,4.167133331298828,0.148549884557724,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,7,6
cfg0100,1,5.628696441650391,5.628696441650391,4.9481306076049805,4.9481306076049805,0.17441052198410034,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,7,4
cfg0095,1,5.591734886169434,5.591734886169434,6.289055347442627,6.289055347442627,0.15887579321861267,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,7,6
cfg0013,1,5.591247081756592,5.591247081756592,8.516215324401855,8.516215324401855,0.1552237570285797,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,3,6
cfg0131,1,5.569547176361084,5.569547176361084,4.9011688232421875,4.9011688232421875,0.1549995094537735,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,7,6
cfg0136,1,5.563869476318359,5.563869476318359,4.194777965545654,4.194777965545654,0.16379103064537048,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,7,4
cfg0133,1,5.5570902824401855,5.5570902824401855,4.1317901611328125,4.1317901611328125,0.13690905272960663,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,3,6
cfg0103,1,5.549646854400635,5.549646854400635,4.828245639801025,4.828245639801025,0.1324732005596161,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,3,6
cfg0084,1,5.534797668457031,5.534797668457031,6.238524913787842,6.238524913787842,0.14839127659797668,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,3,4
cfg0127,1,5.514228343963623,5.514228343963623,4.814258098602295,4.814258098602295,0.12737441062927246,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,3,6
cfg0072,1,5.469517707824707,5.469517707824707,7.480774402618408,7.480774402618408,0.15526269376277924,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,3,4
cfg0026,1,5.449741363525391,5.449741363525391,9.446670532226562,9.446670532226562,0.17452533543109894,34,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,5,4
cfg0120,1,5.427080154418945,5.427080154418945,4.858267307281494,4.858267307281494,0.14409323036670685,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,3,4
