image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,gain_rel_mse_mean,gain_rel_mse_std,gain_corr_mean,gain_corr_std
32,1024,hadamard_paired,0.001,0.15,0.5,1024,0.027224833669606596,0.005303929334756149,0.29352763743372634,0.4197924216503504
32,1024,hadamard_paired,0.001,0.3,0.0015,3,0.0006272427399380831,0.00019042016264922545,0.9880895651876926,0.0070503706040593375
32,1024,hadamard_paired,0.001,0.3,0.0025,5,0.0005443116242531687,0.00019733732674672255,0.9897455219179392,0.0059758279275527425
32,1024,hadamard_paired,0.001,0.3,0.004,8,0.0006794791243009968,0.0002598882060876987,0.9873058646917343,0.007286922010948422
32,1024,hadamard_paired,0.001,0.3,0.006,12,0.0008750880160732777,0.00033090083135679256,0.9836969804018736,0.009372466819648316
32,1024,hadamard_paired,0.001,0.3,0.009,18,0.0011873686162289232,0.0004404467086091803,0.9780045710504055,0.01273067382128502
32,1024,hadamard_paired,0.001,0.3,0.013,27,0.0016131616321217734,0.0005769052688938638,0.9703183956444263,0.017400181546727775
32,1024,hadamard_paired,0.001,0.3,0.02,41,0.0023606247377756517,0.0008117711521032142,0.9573726281523705,0.024904268584730476
32,1024,hadamard_paired,0.001,0.3,0.03,61,0.003433748883253429,0.0011519299544944608,0.9397490490227938,0.03391168595750204
32,1024,hadamard_paired,0.001,0.3,0.045,92,0.005091897000966128,0.001656568250065541,0.9136283714324236,0.04712909087411052
32,1024,hadamard_paired,0.001,0.3,0.067,137,0.00722915623919107,0.0022290297577800522,0.8803006056696177,0.06668326815632204
32,1024,hadamard_paired,0.001,0.3,0.1,205,0.010378270759247243,0.0030157210096543314,0.8315348252654076,0.10126159861272198
32,1024,hadamard_paired,0.001,0.3,0.15,307,0.014807943807682022,0.004217795613848585,0.7675729729235172,0.1480793085392509
32,1024,hadamard_paired,0.001,0.3,0.22,451,0.02085872774478048,0.005859136168950572,0.6850726257544011,0.19618399322847663
32,1024,hadamard_paired,0.001,0.3,0.33,676,0.029590548539999872,0.009061291659566784,0.5672389143146574,0.2712261457056275
32,1024,hadamard_paired,0.001,0.3,0.5,1024,0.04053327237488702,0.01291363019610995,0.4172047526226379,0.37244080166280985
32,1024,hadamard_paired,0.001,0.5,0.0015,3,0.0007793658933223924,0.0003706394586950925,0.9945488795638084,0.003388115190900563
32,1024,hadamard_paired,0.001,0.5,0.0025,5,0.0007637524640813353,0.00040429111029759374,0.9947122912853956,0.003292130907417525
32,1024,hadamard_paired,0.001,0.5,0.004,8,0.0010344014863221673,0.0005334686537055675,0.992856552824378,0.004345085016918498
32,1024,hadamard_paired,0.001,0.5,0.006,12,0.001369411031191703,0.0006735587882382446,0.9905112385749817,0.0057450391220129115
32,1024,hadamard_paired,0.001,0.5,0.009,18,0.001894220335088903,0.000888113232351613,0.9868745598942041,0.007988250145647684
32,1024,hadamard_paired,0.001,0.5,0.013,27,0.0025992567498178687,0.001142601388139084,0.9819536861032248,0.011134054617346336
32,1024,hadamard_paired,0.001,0.5,0.02,41,0.00381809951068135,0.001578419238472739,0.9736422803252935,0.016365633968245887
32,1024,hadamard_paired,0.001,0.5,0.03,61,0.005569156572164502,0.002195370563409262,0.9621561616659164,0.022859165583136415
32,1024,hadamard_paired,0.001,0.5,0.045,92,0.00825384512427263,0.0030500723695025917,0.9450450111180544,0.03208190099650033
32,1024,hadamard_paired,0.001,0.5,0.067,137,0.011684655793942511,0.003964512008161083,0.9229830149561167,0.04467113744974215
32,1024,hadamard_paired,0.001,0.5,0.1,205,0.016685727052390575,0.005357967929986037,0.8901103641837835,0.06597348131334928
32,1024,hadamard_paired,0.001,0.5,0.15,307,0.02369032081332989,0.007874155225252295,0.8457218483090401,0.098199103058676
32,1024,hadamard_paired,0.001,0.5,0.22,451,0.03377873572753742,0.011568470752930307,0.7848542844876647,0.1312819350277602
32,1024,hadamard_paired,0.001,0.5,0.33,676,0.04916405456606299,0.019059563300282682,0.6874134205281734,0.1929223867344209
32,1024,hadamard_paired,0.001,0.5,0.5,1024,0.06892496498767287,0.02820836336922921,0.5361576866125688,0.3129361787515329
32,1024,hadamard_paired,0.003,0.05,0.0015,3,0.0005237083214524318,7.713305320248946e-05,0.8576604723930359,0.057122662187881305
32,1024,hadamard_paired,0.003,0.05,0.0025,5,0.0004046923804708058,4.30206157030853e-05,0.8839266132563353,0.047041729204719836
32,1024,hadamard_paired,0.003,0.05,0.004,8,0.0004601383161570993,4.125883483388993e-05,0.8715657144784927,0.04984103042230726
32,1024,hadamard_paired,0.003,0.05,0.006,12,0.0005729234089812962,5.0882654837560775e-05,0.8479038663208485,0.056470616392306175
32,1024,hadamard_paired,0.003,0.05,0.009,18,0.00075833341179532,6.814155880731925e-05,0.813106594607234,0.06582225357589366
32,1024,hadamard_paired,0.003,0.05,0.013,27,0.0010148284945898922,9.10990310894392e-05,0.7717357687652111,0.07556115129546241
