sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.3,reference_k32,srht_paired,hadamard_paired,0.1,observed,0.0637473235221595,-0.10558181456724469,7
0.3,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.305945233923282,-14.836338087007674,7
0.3,reference_k8,random_binary,hadamard_paired,,not_reached,-0.158462159275075,-14.577380207827623,7
0.3,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.12057964939322652,-10.189330327670593,7
0.3,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.1752018189245721,-2.9618480225833963,7
0.3,reference_k8,srht_paired,hadamard_paired,0.01,observed,0.10010581309703248,-0.018447046913834697,7
0.3,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.3026639154231514,-13.643548081265177,7
0.3,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.13650525695132742,-13.017454230216467,7
0.3,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.12416292623396075,-4.971467066102598,7
0.3,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.18349667242505774,-1.6046177277264668,7
0.3,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.49868311671050236,0.07358528629073113,7
0.3,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.30331112818407036,-15.625025067641465,7
0.3,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.14635832399243576,-14.665800362241104,7
0.3,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.15677088543612605,-8.798138861852006,7
0.3,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.18200111476984127,-2.722797509956628,7
0.3,scgi_proxy,srht_paired,hadamard_paired,0.01,observed,0.14037241835205982,-0.09124282496311054,7
0.5,agc,random_uniform,hadamard_paired,,not_reached,-0.07023833543652813,-9.38751653576701,7
0.5,agc,random_binary,hadamard_paired,,not_reached,-0.017095316011575434,-8.295622766255144,7
0.5,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.03668911191103952,-2.8316505152993585,7
0.5,agc,dct_paired,hadamard_paired,,not_reached,-0.048447237187085435,-2.2246112188564773,7
0.5,agc,srht_paired,hadamard_paired,0.001,left_censored,3.01906408759098,0.06102163421216389,7
0.5,none,random_uniform,hadamard_paired,,not_reached,-0.08981149643566155,-9.67374542406721,7
0.5,none,random_binary,hadamard_paired,,not_reached,-0.03376320848921566,-9.413898897228284,7
0.5,none,fourier_fourstep,hadamard_paired,,not_reached,-0.028211146982041413,-2.655382422941873,7
0.5,none,dct_paired,hadamard_paired,,not_reached,-0.05386451343866128,-1.110268701569673,7
0.5,none,srht_paired,hadamard_paired,0.001,left_censored,0.15383640152074385,0.040872524460048965,7
0.5,pairwise,dct_paired,hadamard_paired,,not_reached,-0.07833715363940641,-2.8502022311752384,7
0.5,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.07833218309862922,0.036958534070386406,7
0.5,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.1453603688586842,-12.663677965306032,7
0.5,reference_k2,random_binary,hadamard_paired,1.0,observed,0.0004399864644195617,-12.583897890361465,7
0.5,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.04267878273299175,-8.279222923964735,7
0.5,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.10855156858842108,-2.9460156500068706,7
0.5,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.051626050529980816,0.025549122405145397,7
0.5,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.07890401437624739,-12.21808428105627,7
0.5,reference_k32,random_binary,hadamard_paired,,not_reached,-0.045053841976463005,-11.111953194391436,7
0.5,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.012878109089017542,-6.59928726678373,7
0.5,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.0309099284480574,-2.7422243672703424,7
0.5,reference_k32,srht_paired,hadamard_paired,0.03,observed,0.06585309198659317,-0.08993799408431258,7
0.5,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.07843575481812337,-11.205191875276444,7
0.5,reference_k8,random_binary,hadamard_paired,,not_reached,-0.029817512552027026,-10.543880505398887,7
0.5,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.02456503331355009,-6.795567410352735,7
0.5,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.04075702163707895,-2.8719183613265997,7
0.5,reference_k8,srht_paired,hadamard_paired,0.003,observed,0.07779955383679038,-0.005203649394481147,7
0.5,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.08974269816585512,-9.440485032091665,7
0.5,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.03360749878164171,-9.147954944992874,7
0.5,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.02821114698148186,-2.5064669234358163,7
0.5,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.0538645114502696,-1.275306686095579,7
0.5,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.6776572207882587,0.04084193103083855,7
0.5,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.08814674531602762,-12.412547173652126,7
0.5,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.03615342238660979,-11.322755796159905,7
0.5,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.040698295648994076,-5.952338112847549,7
0.5,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.05033465343978705,-2.6036745004245496,7
0.5,scgi_proxy,srht_paired,hadamard_paired,0.003,observed,0.16710464189262986,-0.0582148681798067,7
