experiment,basis,correction,channel,rho,sigma_a,mse_mean,rel_mse_mean,psnr_mean,gain_rel_mse_mean,gain_corr_mean,mse_std,rel_mse_std,psnr_std,gain_rel_mse_std,gain_corr_std,window_frac,agc_window,sigma_delta
oracle_agc,random_binary,none,ou,0.003,0.1,0.05633855908938678,0.5957902530564883,12.833967084069482,,,0.020383844778928666,0.07496265536614316,1.8348282911895315,,,,,
oracle_agc,random_binary,none,ou,0.01,0.1,0.05926567002898788,0.6270678215017863,12.590383651939069,,,0.020504474693899783,0.05099519267537625,1.7760032019964576,,,,,
oracle_agc,random_binary,none,ou,0.03,0.1,0.060844937697273345,0.6441693050253015,12.467565112467591,,,0.020663736727504503,0.04084634303323689,1.755978242103949,,,,,
oracle_agc,random_binary,oracle,ou,0.001,0.1,0.03073737868535585,0.3280273041213043,15.391699013682981,8.491836147293558e-15,0.9999999046325684,0.009714123880079447,0.009611329698674408,1.6335163283907972,6.9336372787299695e-15,1.3902072660712672e-07,,,
oracle_agc,random_binary,oracle,ou,0.003,0.1,0.030737378698087105,0.32802730350989273,15.391699021810632,8.460152879901511e-15,1.000000011920929,0.009714124125243502,0.009611329804372364,1.633516353679571,6.907712081073474e-15,1.0925711859948074e-07,,,
oracle_agc,random_binary,oracle,ou,0.01,0.1,0.030737378940011707,0.3280273057645835,15.391698992599647,5.626528499298907e-15,0.9999999761581421,0.009714124301993438,0.009611331547578573,1.633516368014176,6.891061932770587e-15,1.1680077283436194e-07,,,
oracle_agc,random_binary,oracle,ou,0.03,0.1,0.030737378950293003,0.3280273054744292,15.391698996550712,5.623241333837202e-15,0.9999999046325684,0.009714124422260552,0.009611331862684168,1.6335163832432749,6.88703806732008e-15,2.9200193184458784e-08,,,
oracle_agc,random_gaussian,agc,ou,0.001,0.1,0.030900559585815855,0.33186174014023523,15.341336063543038,0.005493882317095995,0.6009307992458344,0.00911633291134221,0.00988578720676973,1.5563156193054255,0.0012930134483397301,0.18714664945371592,,,
oracle_agc,random_gaussian,agc,ou,0.003,0.1,0.030907566841968253,0.33192946142966107,15.340445827401547,0.005825194353237748,0.6870482432842254,0.009119055114029708,0.009877051377133367,1.5567356566056587,0.0013253788284121942,0.1273060040179824,,,
oracle_agc,random_gaussian,agc,ou,0.01,0.1,0.030931238151401915,0.3321675551342424,15.337326615670225,0.006971686789765954,0.6480402672290801,0.009127599390499392,0.009869692034877954,1.557635809186365,0.0014080111119495681,0.09120816607391351,,,
oracle_agc,random_gaussian,agc,ou,0.03,0.1,0.030984628981646424,0.3327171051970668,15.330144285952493,0.00961557169444859,0.4795394816994667,0.009145718392226703,0.00987456245302258,1.5589876779337326,0.0015054612405652496,0.0917768349292329,,,
oracle_agc,random_gaussian,none,ou,0.001,0.1,0.0308716653643573,0.3316357209185869,15.344210707057497,,,0.009085086640318495,0.009663893718169923,1.5525141639762594,,,,,
oracle_agc,random_gaussian,none,ou,0.003,0.1,0.0309287089362761,0.33225752897469996,15.336081970606047,,,0.009097875418953977,0.00969621543251048,1.55233720738023,,,,,
oracle_agc,random_gaussian,none,ou,0.01,0.1,0.03095363968410612,0.3325488454018777,15.332316639283492,,,0.009096859260042812,0.009805499078142179,1.55176564665242,,,,,
oracle_agc,random_gaussian,none,ou,0.03,0.1,0.030967112254239138,0.33266045925178117,15.330871452646413,,,0.009105915350910277,0.00983601683848316,1.5535550860045142,,,,,
