experiment,basis,correction,channel,rho,sigma_a,seed,object,num_frames,num_pixels,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
pairwise_failure,srht_paired,none,jitter,0.03,0.1,1,2,2048,1024,0.0028757603918169936,0.04069620818341951,25.412473021718863,0.9523879751625548,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,1,3,2048,1024,6.692217663034932e-14,7.098381838645278e-13,120.0,0.999999903642317,0.0,1.0000001192092896,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,1,3,2048,1024,0.003575713974704292,0.03792731261332045,24.466372281802848,0.9508144077887497,0.00014528621977660805,0.879618763923645,1.0000001192092896
pairwise_failure,srht_paired,none,jitter,0.03,0.1,1,3,2048,1024,0.003615709680863598,0.03835154387494421,24.4180644795903,0.9497255729497255,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,1,4,2048,1024,1.8971444655806742e-14,5.359996372178514e-13,120.0,0.9999998636316733,0.0,1.0000001192092896,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,1,4,2048,1024,0.001146746912087944,0.032399004926158666,29.405324206443968,0.9659355678003779,0.00014534560614265501,0.8795676231384277,0.999998927116394
pairwise_failure,srht_paired,none,jitter,0.03,0.1,1,4,2048,1024,0.0011761409508994612,0.033229473792667386,29.295406284897293,0.9645035487036245,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,1,5,2048,1024,6.969034856385519e-14,6.032525368729671e-13,120.0,0.9999999954012032,0.0,1.0000001192092896,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,1,5,2048,1024,0.00517083603900431,0.04475971239296321,22.864392329656237,0.9490851803452367,0.00014517881209030747,0.879713773727417,0.9999996423721313
pairwise_failure,srht_paired,none,jitter,0.03,0.1,1,5,2048,1024,0.005226355663627823,0.04524030052447013,22.818010390221808,0.9468327034825568,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,1,6,2048,1024,8.714409215631186e-14,6.54653727303145e-13,120.0,1.0000002503425462,0.0,1.0000001192092896,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,1,6,2048,1024,0.006135180433473214,0.04608939790486595,22.12172660302997,0.9397616900106771,0.00014518674288410693,0.879706859588623,1.0000001192092896
pairwise_failure,srht_paired,none,jitter,0.03,0.1,1,6,2048,1024,0.006201467748038361,0.04658736898333161,22.07505510592927,0.940031413809565,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,1,7,2048,1024,1.0094584296529873e-13,7.864899214020898e-13,120.0,0.9999998406833635,0.0,1.0000001192092896,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,1,7,2048,1024,0.006589620484715439,0.051341094837110315,21.811395969598692,0.9252326806054713,0.00014511011249851435,0.8797745704650879,0.9999998807907104
pairwise_failure,srht_paired,none,jitter,0.03,0.1,1,7,2048,1024,0.006632335782675731,0.05167389854995866,21.783334943890836,0.9230989667339148,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,1,8,2048,1024,8.580236787127734e-14,7.573845729108444e-13,120.0,1.0000001697998138,0.0,1.0000001192092896,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,1,8,2048,1024,0.005526528853303781,0.04878312567688617,22.57547558239294,0.9305460482966997,0.00014514375652652234,0.879744827747345,0.9999998807907104
pairwise_failure,srht_paired,none,jitter,0.03,0.1,1,8,2048,1024,0.00559497580823658,0.04938731258938022,22.52201786950122,0.9299510475362192,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,1,9,2048,1024,6.167235038034037e-14,7.760589434668849e-13,120.0,0.9999999903872632,0.0,1.0000001192092896,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,1,9,2048,1024,0.0033122058069722992,0.04167940613988996,24.798826857592985,0.9540081671676524,0.00014521264529321343,0.879683792591095,0.9999997615814209
pairwise_failure,srht_paired,none,jitter,0.03,0.1,1,9,2048,1024,0.0033356385637716346,0.041974274105389224,24.768210138686918,0.9510090500434776,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,2,0,2048,1024,6.470724394122748e-14,7.653523409780117e-13,120.0,0.9999999990717571,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,2,0,2048,1024,0.0033912363803236733,0.04011128498762772,24.696419374138053,0.9696066156277727,0.0001618243841221556,0.877240002155304,1.0000001192092896
pairwise_failure,srht_paired,none,jitter,0.03,0.1,2,0,2048,1024,0.003447911634270181,0.04078163556418576,24.624438731375278,0.9703787526274433,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,2,1,2048,1024,6.277282393278034e-14,7.870737204755413e-13,120.0,1.0000001269699965,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,2,1,2048,1024,0.003126507449483515,0.039201547679209074,25.049405321949777,0.959731432232234,0.000161854230100289,0.8772163391113281,1.0000007152557373
pairwise_failure,srht_paired,none,jitter,0.03,0.1,2,1,2048,1024,0.0031407283433159587,0.03937985560158604,25.029696261933413,0.9592625218985155,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,2,2,2048,1024,6.279031083617104e-14,8.885745728196446e-13,120.0,1.0000000347821947,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,2,2,2048,1024,0.0032146574462704487,0.045492096297057305,24.92865298671528,0.9617850218200465,0.00016181287355720997,0.8772493600845337,1.0
pairwise_failure,srht_paired,none,jitter,0.03,0.1,2,2,2048,1024,0.00326274522157433,0.04617260852624472,24.86416837699833,0.9624861048278901,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,2,3,2048,1024,6.501827418326933e-14,6.896436426326217e-13,120.0,0.9999999082369324,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,2,3,2048,1024,0.004074179686799679,0.04321449861964149,23.8995982087717,0.956262381938681,0.00016181624960154295,0.8772468566894531,1.0000005960464478
pairwise_failure,srht_paired,none,jitter,0.03,0.1,2,3,2048,1024,0.004108109127891992,0.043574385492083464,23.863580283143342,0.9566207209193742,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,2,4,2048,1024,1.882313985275716e-14,5.318095862188669e-13,120.0,0.9999998686241804,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,2,4,2048,1024,0.0013020840169815024,0.03678773933094393,28.853609920088182,0.973292646764959,0.00016187647997867316,0.8771980404853821,1.0000007152557373
pairwise_failure,srht_paired,none,jitter,0.03,0.1,2,4,2048,1024,0.0013148775230811284,0.03714919386182201,28.81114698525739,0.9740715635636911,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,2,5,2048,1024,7.005180794831938e-14,6.063813961073958e-13,120.0,0.9999999950687765,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,2,5,2048,1024,0.005824928249460228,0.050421655451618384,22.347094198393535,0.9502494499029928,0.00016170965682249516,0.8773331046104431,1.0
pairwise_failure,srht_paired,none,jitter,0.03,0.1,2,5,2048,1024,0.005886885689495141,0.050957970503120384,22.301143971593742,0.9505516833509737,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,2,6,2048,1024,8.603552339943526e-14,6.463258114260788e-13,120.0,1.0000002578599165,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,2,6,2048,1024,0.007146903171949003,0.05368977614453469,21.458821017904107,0.9544588741629128,0.00016169395530596375,0.8773463368415833,1.0000005960464478
pairwise_failure,srht_paired,none,jitter,0.03,0.1,2,6,2048,1024,0.007176161085386028,0.053909570758383034,21.441078211193336,0.955784898173228,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,2,7,2048,1024,1.0534415265813799e-13,8.207580610600285e-13,120.0,0.9999998552685104,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,2,7,2048,1024,0.007829858667939239,0.061004046798181895,21.062460770593063,0.9441035200687279,0.00016166326531674713,0.8773707747459412,1.0
pairwise_failure,srht_paired,none,jitter,0.03,0.1,2,7,2048,1024,0.007891074648808782,0.061480993154449284,21.028638482143585,0.9432321315596738,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,2,8,2048,1024,8.467468453273905e-14,7.474304191394842e-13,120.0,1.0000001907909992,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,2,8,2048,1024,0.006387111639008895,0.05637956085433402,21.94695492831869,0.9391021412685949,0.00016170876915566623,0.8773342967033386,1.0000008344650269
pairwise_failure,srht_paired,none,jitter,0.03,0.1,2,8,2048,1024,0.006437887898571115,0.056827767082397986,21.912565898523077,0.9403793615077514,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,2,9,2048,1024,5.96436454143938e-14,7.505305726042691e-13,120.0,0.9999999927661308,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,2,9,2048,1024,0.0037185044152663865,0.0467920971065908,24.296316985049394,0.9539612220519316,0.00016174602205865085,0.8773037195205688,1.0000001192092896
pairwise_failure,srht_paired,none,jitter,0.03,0.1,2,9,2048,1024,0.0037459033014296235,0.0471368731775023,24.264434379051394,0.953526708174452,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,3,0,2048,1024,6.347645895582076e-14,7.507947101403082e-13,120.0,0.9999999678172178,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,3,0,2048,1024,0.003093164873834888,0.03658571796645709,25.095969303400697,0.9654304476929123,0.0001496339391451329,0.8799101710319519,0.9999990463256836
