experiment,basis,correction,channel,rho,sigma_delta,seed,object,num_frames,num_pixels,mse,rel_mse,psnr,recon_scale
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,1,2,2048,1024,0.02882911262143539,0.4079740343888301,15.401687252685763,0.6172722825443036
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,1,3,2048,1024,0.03927893188811858,0.4166284941628182,14.058403304931117,0.6165905808867681
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,1,4,2048,1024,0.013376130593146547,0.377915402615936,18.736694998029314,0.5734497477467435
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,1,5,2048,1024,0.04826706753197991,0.41780865695350133,13.163490859620442,0.5783176417938309
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,1,6,2048,1024,0.05417924116285572,0.4070114369439843,12.6616708201035,0.5658212154397925
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,1,7,2048,1024,0.053167351221035664,0.41423781955403777,12.743549755470692,0.5759773999056177
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,1,8,2048,1024,0.04471200131298796,0.3946765206903184,13.495758906388991,0.5883347044951611
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,1,9,2048,1024,0.0313794116466925,0.39486533104318905,15.03355203546733,0.5802749853401111
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,2,0,2048,1024,0.03140410706526161,0.371445380683388,15.030135506803116,0.5983366933069268
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,2,1,2048,1024,0.03301447888088685,0.41395029081639517,14.81295553485365,0.5964845903417156
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,2,2,2048,1024,0.03008015559458728,0.42567811899430213,15.217199216144412,0.5954777235499865
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,2,3,2048,1024,0.03976676454616263,0.42180289621385303,14.004797421019774,0.5846468612398494
