postprocess_method,rule,observations,mean_selected_cnr,min_selected_cnr,all_hit_apl_min,mean_regret_to_peak,max_regret_to_peak,mean_selected_step
raw_mean_plus_std_binary,max_proxy_otsu_fg_fraction,4,5.349093496799469,2.5182459354400635,False,37.6836079955101,104.59161520004272,9.75
raw_mean_plus_std_binary,max_proxy_range,4,5.320492386817932,2.5182459354400635,False,37.71220910549164,98.14795398712158,6.5
raw_mean_plus_std_binary,max_proxy_hist_entropy,4,3.7095770835876465,2.5182459354400635,False,39.323124408721924,104.59161520004272,1.0
raw_mean_plus_std_binary,max_proxy_roughness_l2,4,3.7095770835876465,2.5182459354400635,False,39.323124408721924,104.59161520004272,1.0
raw_mean_plus_std_binary,max_proxy_tv_l1,4,3.7095770835876465,2.5182459354400635,False,39.323124408721924,104.59161520004272,1.0
raw_mean_binary,max_proxy_std,4,4.372016251087189,2.319141149520874,False,9.346777379512787,12.201496362686157,9.5
raw_mean_binary,min_proxy_dual_abs_mean,4,3.9957762956619263,2.319141149520874,False,9.72301733493805,12.763233184814453,46.5
raw_mean_plus_std_binary,fixed_step_25,4,5.46631783246994,2.29221510887146,False,37.56638365983963,101.53898763656616,25.0
raw_mean_binary,fixed_step_36,4,10.382414877414703,2.2231085300445557,False,3.336378753185272,12.79730772972107,36.0
raw_mean_binary,max_proxy_otsu_fg_fraction,4,2.4116849303245544,2.2231085300445557,False,11.307108700275421,12.79730772972107,9.75
raw_mean_plus_std_binary,fixed_step_50,4,6.618342757225037,2.212235450744629,False,36.414358735084534,102.83933210372925,46.75
raw_mean_binary,max_proxy_net_delta_mse,4,5.288244903087616,2.1974568367004395,False,8.43054872751236,12.822959423065186,67.25
raw_mean_binary,max_proxy_range,4,2.516037166118622,2.1974568367004395,False,11.202756464481354,12.822959423065186,6.5
raw_mean_binary,max_proxy_hist_entropy,4,2.4052720069885254,2.1974568367004395,False,11.31352162361145,12.822959423065186,1.0
raw_mean_binary,max_proxy_roughness_l2,4,2.4052720069885254,2.1974568367004395,False,11.31352162361145,12.822959423065186,1.0
raw_mean_binary,max_proxy_tv_l1,4,2.4052720069885254,2.1974568367004395,False,11.31352162361145,12.822959423065186,1.0
minmax_otsu_binary,fixed_step_25,4,5.553966045379639,2.1350457668304443,False,29.873955726623535,69.40138006210327,25.0
raw_otsu_binary,fixed_step_25,4,5.553966045379639,2.1350457668304443,False,29.873955726623535,69.40138006210327,25.0
raw_mean_binary,fixed_step_100,4,5.948212623596191,2.0909924507141113,False,7.770581007003784,12.42964506149292,84.25
