object,family,K_eff,basis,rho,s,seed,W,photon_budget,lambda_bar,zero_fraction,method,gain_rel_mse,log_gain_mse,fisher_reference,fisher_reference_nominal
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,0.5,0.5000044703483582,0.6044921875,soft_log_calibrated_carrier_oracle,0.03428602618859284,0.03891507679428848,0.03116246563500641,0.031249720605725596
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,0.5,0.5000044703483582,0.6044921875,naive_log,0.16259887428577324,0.20113313253547915,0.03116246563500641,0.031249720605725596
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,0.5,0.5000044703483582,0.6044921875,anscombe,0.010515846986709489,0.010894336833022895,0.03116246563500641,0.031249720605725596
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,1.0,1.0000089406967163,0.384765625,soft_log,0.008636739692561743,0.008496266126785633,0.015581232817503204,0.015624860302862798
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,1.0,1.0000089406967163,0.384765625,soft_log_calibrated,0.01988116244692262,0.0202853638521321,0.015581232817503204,0.015624860302862798
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,1.0,1.0000089406967163,0.384765625,soft_log_calibrated_carrier_oracle,0.019546220070835195,0.01988496525764224,0.015581232817503204,0.015624860302862798
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,1.0,1.0000089406967163,0.384765625,naive_log,0.19837044537643594,0.20616288061841467,0.015581232817503204,0.015624860302862798
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,1.0,1.0000089406967163,0.384765625,anscombe,0.010799522488314745,0.010762012879795467,0.015581232817503204,0.015624860302862798
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,2.0,2.0000178813934326,0.13232421875,soft_log,0.006444473026259642,0.006518279445504316,0.007790616408751602,0.007812430151431399
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,2.0,2.0000178813934326,0.13232421875,soft_log_calibrated,0.007917650450647906,0.008079309017121108,0.007790616408751602,0.007812430151431399
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,2.0,2.0000178813934326,0.13232421875,soft_log_calibrated_carrier_oracle,0.00779460829749849,0.007968756618465335,0.007790616408751602,0.007812430151431399
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,2.0,2.0000178813934326,0.13232421875,naive_log,0.08614024667739752,0.09037286851293992,0.007790616408751602,0.007812430151431399
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,2.0,2.0000178813934326,0.13232421875,anscombe,0.005929078224219282,0.006104205417687617,0.007790616408751602,0.007812430151431399
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,4.0,4.000035762786865,0.0244140625,soft_log,0.005754884065984866,0.005806092209546011,0.003895308204375801,0.0039062150757156995
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,4.0,4.000035762786865,0.0244140625,soft_log_calibrated,0.0058172813064078024,0.005873063620941619,0.003895308204375801,0.0039062150757156995
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,4.0,4.000035762786865,0.0244140625,soft_log_calibrated_carrier_oracle,0.006084508960500746,0.00614125955431121,0.003895308204375801,0.0039062150757156995
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,4.0,4.000035762786865,0.0244140625,naive_log,0.029413513264567346,0.03305649558536476,0.003895308204375801,0.0039062150757156995
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,4.0,4.000035762786865,0.0244140625,anscombe,0.004665458063781627,0.004692773720286177,0.003895308204375801,0.0039062150757156995
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,8.0,8.00007152557373,0.0,soft_log,0.0030576034504998634,0.003073745741477744,0.0019476541021879006,0.0019531075378578498
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,8.0,8.00007152557373,0.0,soft_log_calibrated,0.0030451398500514304,0.003061011412996003,0.0019476541021879006,0.0019531075378578498
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,8.0,8.00007152557373,0.0,soft_log_calibrated_carrier_oracle,0.0026987049525529086,0.002716841242672653,0.0019476541021879006,0.0019531075378578498
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,8.0,8.00007152557373,0.0,naive_log,0.003646377296203954,0.0036767212767730402,0.0019476541021879006,0.0019531075378578498
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,8.0,8.00007152557373,0.0,anscombe,0.002735095923387223,0.0027368456125184733,0.0019476541021879006,0.0019531075378578498
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,16.0,16.00014305114746,0.0,soft_log,0.0010887335605874145,0.0011212449382242732,0.0009738270510939503,0.0009765537689289249
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,16.0,16.00014305114746,0.0,soft_log_calibrated,0.001087715679424702,0.0011201751115694168,0.0009738270510939503,0.0009765537689289249
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,16.0,16.00014305114746,0.0,soft_log_calibrated_carrier_oracle,0.001003736479945679,0.0010312918996464267,0.0009738270510939503,0.0009765537689289249
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,16.0,16.00014305114746,0.0,naive_log,0.001179037317576686,0.001216623360187075,0.0009738270510939503,0.0009765537689289249
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,16.0,16.00014305114746,0.0,anscombe,0.001060996946450371,0.0010857315737799122,0.0009738270510939503,0.0009765537689289249
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,32.0,32.00028610229492,0.0,soft_log,0.0005148448988527086,0.0005115728140414784,0.00048691352554697514,0.00048827688446446244
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,32.0,32.00028610229492,0.0,soft_log_calibrated,0.0005147484227350242,0.0005114762731292619,0.00048691352554697514,0.00048827688446446244
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,32.0,32.00028610229492,0.0,soft_log_calibrated_carrier_oracle,0.0004375085161802576,0.0004399255104580238,0.00048691352554697514,0.00048827688446446244
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,32.0,32.00028610229492,0.0,naive_log,0.0005333430194370964,0.0005300802184338688,0.00048691352554697514,0.00048827688446446244
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,32.0,32.00028610229492,0.0,anscombe,0.0004980467295198494,0.0004938709770111373,0.00048691352554697514,0.00048827688446446244
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,64.0,64.00057220458984,0.0,soft_log,0.0002517435766331165,0.0002518839449631691,0.00024345676277348757,0.00024413844223223122
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,64.0,64.00057220458984,0.0,soft_log_calibrated,0.0002517330690850389,0.00025187336521276916,0.00024345676277348757,0.00024413844223223122
