method,photon_budget,gain_rel_mse_mean,gain_rel_mse_std,gain_rel_mse_count,log_gain_mse_mean,log_gain_mse_std,lambda_bar_mean,zero_fraction_mean,fisher_reference_mean,fisher_reference_nominal_mean
naive_log,16.0,0.0012669187028830416,0.00023335065057257238,50,0.0012959717186736917,0.0002255290080805307,16.000174903869627,0.0,0.0009768929173184309,0.0009765518262500368
naive_log,32.0,0.0006320329558965817,0.00010812079035405381,50,0.0006457416995780727,0.00011281648707740796,32.000349807739255,0.0,0.0004884464586592154,0.0004882759131250184
naive_log,64.0,0.00038464186167386986,8.146991657500891e-05,50,0.0003863746701038485,7.989594036520371e-05,64.00069961547851,0.0,0.0002442232293296077,0.0002441379565625092
naive_log,128.0,0.0002420092415779514,3.175516199015673e-05,50,0.000244343911127689,3.310005490249296e-05,128.00139923095702,0.0,0.00012211161466480386,0.0001220689782812546
soft_log,0.25,0.004613128279535711,0.0008674956061728178,50,0.0046799715523263286,0.0009429171306595567,0.25000273287296293,0.783857421875,0.06252114670837958,0.062499316880002355
soft_log,0.5,0.006019299687121249,0.0008531217582280206,50,0.006039106354343844,0.00086881846381717,0.5000054657459259,0.611796875,0.03126057335418979,0.031249658440001177
soft_log,1.0,0.008385720770903037,0.0008486858920536418,50,0.008439790606763576,0.0007273307537174429,1.0000109314918517,0.369423828125,0.015630286677094894,0.015624829220000589
soft_log,2.0,0.007370590524867858,0.0015842223144007437,50,0.007495503887502181,0.0015236520729021762,2.0000218629837034,0.13673828125,0.007815143338547447,0.007812414610000294
soft_log,4.0,0.004899457485807545,0.0009527626120322695,50,0.00508130375751753,0.0010266586862859224,4.000043725967407,0.022607421875,0.0039075716692737236,0.003906207305000147
soft_log,8.0,0.0022766376600905605,0.00034187464951347847,50,0.0022944278357584554,0.0003308187390352887,8.000087451934814,0.000302734375,0.0019537858346368618,0.0019531036525000736
soft_log,16.0,0.0011850653010940324,0.0002195744774719073,50,0.0012078389030125937,0.00021025523642497564,16.000174903869627,0.0,0.0009768929173184309,0.0009765518262500368
soft_log,32.0,0.0006203637629027879,0.00010858800108656577,50,0.0006339105031582041,0.0001137228584673029,32.000349807739255,0.0,0.0004884464586592154,0.0004882759131250184
soft_log,64.0,0.00037988997482812296,7.967003072342626e-05,50,0.00038142286399213724,7.801389086025057e-05,64.00069961547851,0.0,0.0002442232293296077,0.0002441379565625092
soft_log,128.0,0.00024115554834470754,3.144841644566094e-05,50,0.00024341712330622843,3.271279531095727e-05,128.00139923095702,0.0,0.00012211161466480386,0.0001220689782812546
