object,family,K_eff,basis,N,N_factor,seed,v,rel_mse,measured_leverage,C0_measured,theory_rel_mse,target_energy
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,7,0.0001,0.00010070679965673565,1.0,3.358236201082832e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,7,0.0003,0.0003229154906583688,1.0,3.358236201082832e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,7,0.001,0.0008917005329824762,1.0,3.358236201082832e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,7,0.003,0.002770381600380263,1.0,3.358236201082832e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,7,0.01,0.009740925730389871,1.0,3.358236201082832e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,8,0.0,3.279527540119953e-13,1.0,3.358236201082832e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,8,0.0001,0.00010846918153536725,1.0,3.358236201082832e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,8,0.0003,0.0003194680182596039,1.0,3.358236201082832e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,8,0.001,0.0009772618842841178,1.0,3.358236201082832e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,8,0.003,0.0028644634073770854,1.0,3.358236201082832e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,8,0.01,0.01051613243201507,1.0,3.358236201082832e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,9,0.0,3.279527540119953e-13,1.0,3.358236201082832e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,9,0.0001,9.716095737321094e-05,1.0,3.358236201082832e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,9,0.0003,0.00026401713379241667,1.0,3.358236201082832e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,9,0.001,0.0009588297318436892,1.0,3.358236201082832e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,9,0.003,0.0027591450359658125,1.0,3.358236201082832e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,9,0.01,0.010364463351094956,1.0,3.358236201082832e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,10,0.0,3.279527540119953e-13,1.0,3.358236201082832e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,10,0.0001,0.00010972990171551529,1.0,3.358236201082832e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,10,0.0003,0.00030988123340177547,1.0,3.358236201082832e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,10,0.001,0.0008837636626716283,1.0,3.358236201082832e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,10,0.003,0.0031467298541271393,1.0,3.358236201082832e-10,0.003,0.06494319704508411
