basis,rho,estimator,statistic,n_cells,median,ci_lo_naive,ci_hi_naive,ci_lo_seed_cluster,ci_hi_seed_cluster,ci_lo_two_way,ci_hi_two_way
hadamard_raw_shuffled_2048,0.001,gain_rel_err_log,slope_wle16,200,-0.2937241623200746,-0.32060308251492337,-0.2653062144896044,-0.3156960594880618,-0.2755313814065886,-0.3711081072247679,-0.15283174541697017
hadamard_raw_shuffled_2048,0.001,gain_rel_err_log,log10_best_err,200,-0.8664893383292558,-0.943954316384509,-0.7921531265937483,-0.9445997528340577,-0.7885306623243262,-1.08115262660974,-0.70814571300321
hadamard_raw_shuffled_2048,0.01,gain_rel_err_ratio,slope_wle16,200,-0.02441776862980003,-0.026210678392265475,-0.021198391928665322,-0.026043797679709005,-0.01976542160052036,-0.02985106435920635,-0.009876613952483595
hadamard_raw_shuffled_2048,0.01,gain_rel_err_ratio,log10_best_err,200,-0.09762321304341808,-0.10303450520152369,-0.09218252601356572,-0.10465611770526219,-0.09067643269789602,-0.10966502490890755,-0.08702703358220963
hadamard_raw_shuffled_2048,0.01,gain_rel_err_log,slope_wle16,200,-0.2966222682443804,-0.3194406401705752,-0.26773365198085675,-0.31540204245691067,-0.2759888877893073,-0.3695836380929032,-0.158541095179546
hadamard_raw_shuffled_2048,0.01,gain_rel_err_log,log10_best_err,200,-0.8145965133504309,-0.8622618470630748,-0.7656735184394347,-0.8696846345453124,-0.7596299689179438,-0.9294794405628395,-0.7024414991787823
random_binary,0.001,gain_rel_err_ratio,slope_wle16,200,-0.41345259514389665,-0.4202058479202291,-0.4034897469760569,-0.4148786325555459,-0.41109478141862393,-0.4399576414616229,-0.3709763941874034
random_binary,0.001,gain_rel_err_ratio,log10_best_err,200,-1.8248803195428915,-1.8402247470538189,-1.812586334342654,-1.8313815490825838,-1.8192943302176598,-1.885510389879795,-1.7826429596491056
random_binary,0.001,gain_rel_err_log,slope_wle16,200,-0.414348642377162,-0.42049906190982417,-0.4052328862111125,-0.4165138682254461,-0.4131001444756967,-0.4376497692589646,-0.3660141403694345
random_binary,0.001,gain_rel_err_log,log10_best_err,200,-1.8240720275789557,-1.8391850077174103,-1.8106009912367758,-1.8299202342685992,-1.8181041906296553,-1.8918968205654378,-1.7781827661327148
random_binary,0.01,gain_rel_err_ratio,slope_wle16,200,-0.278853059686458,-0.28692035471634064,-0.267595601653981,-0.2837226854480568,-0.2744336366696703,-0.31077270438708493,-0.1646637051317975
random_binary,0.01,gain_rel_err_ratio,log10_best_err,200,-1.5867520095576093,-1.5940579595598,-1.576084999213905,-1.588419362207889,-1.5830533953461274,-1.6686790552296933,-1.530598846278287
random_binary,0.01,gain_rel_err_log,slope_wle16,200,-0.27812256279944525,-0.28594606726354577,-0.26668931219067155,-0.28247390714569515,-0.27368128130849906,-0.31181373069657786,-0.13882751461213197
random_binary,0.01,gain_rel_err_log,log10_best_err,200,-1.5832302779442742,-1.590541473483775,-1.5736470121153177,-1.5858071047349054,-1.580106932089317,-1.6419713520752341,-1.5272502541016395
random_uniform,0.001,gain_rel_err_ratio,slope_wle16,200,-0.38627309381249897,-0.3988865811904143,-0.37237067389060285,-0.3901914798994125,-0.38125785480902097,-0.42408553391030446,-0.31091846584024
random_uniform,0.001,gain_rel_err_ratio,log10_best_err,200,-1.948236190898872,-1.9649637528496882,-1.9407221254763554,-1.9549814211172571,-1.9438988059046691,-2.030379267801253,-1.9263721289370233
