sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,points,rho_min,rho_max
0.3,reference_k8,srht_paired,hadamard_paired,0.003606253964684729,observed,0.1001058130970307,-0.018447046913834697,9,0.001,10.0
0.3,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.07260243132908073,-13.643548081265175,9,0.001,10.0
0.3,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.029234411987610898,-13.017454230216467,9,0.001,10.0
0.3,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.08077927265068396,-4.971467066102601,9,0.001,10.0
0.3,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.09111348631372707,-1.6046177277264668,9,0.001,10.0
0.3,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.49868311671050236,0.07358528629072936,9,0.001,10.0
0.3,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.16523775259853046,-15.625025067641463,9,0.001,10.0
0.3,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.007278048565382278,-14.665800362241104,9,0.001,10.0
0.3,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.04748816553579971,-8.798138861852006,9,0.001,10.0
0.3,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.11555287166892292,-2.722797509956621,9,0.001,10.0
0.3,scgi_proxy,srht_paired,hadamard_paired,0.006831231253668056,observed,0.14037241835205982,-0.09124282496310698,9,0.001,10.0
0.5,agc,random_uniform,hadamard_paired,,not_reached,-0.03522833252990587,-9.38751653576701,9,0.001,10.0
0.5,agc,random_binary,hadamard_paired,1.772506245787455,observed,0.018857499567738856,-8.295622766255144,9,0.001,10.0
0.5,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.007832408004080804,-2.8316505152993585,9,0.001,10.0
0.5,agc,dct_paired,hadamard_paired,,not_reached,-0.029053888760971702,-2.2246112188564773,9,0.001,10.0
0.5,agc,srht_paired,hadamard_paired,0.001,left_censored,3.01906408759098,0.04369580160560815,9,0.001,10.0
0.5,none,random_uniform,hadamard_paired,,not_reached,-0.047998150366764136,-9.673745424067212,9,0.001,10.0
0.5,none,random_binary,hadamard_paired,2.572247459202186,observed,0.009225460247591855,-9.413898897228282,9,0.001,10.0
0.5,none,fourier_fourstep,hadamard_paired,2.8636137186292556,observed,0.004867175951597247,-2.655382422941873,9,0.001,10.0
0.5,none,dct_paired,hadamard_paired,,not_reached,-0.032140021801311036,-1.1102687015696766,9,0.001,10.0
0.5,none,srht_paired,hadamard_paired,0.001,left_censored,0.15383640152074385,0.030039520451124346,9,0.001,10.0
0.5,pairwise,dct_paired,hadamard_paired,,not_reached,-0.04935805142790528,-2.850202231175242,9,0.001,10.0
0.5,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.07833218309862922,0.025000590804028278,9,0.001,10.0
0.5,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.06638962705661555,-12.66367796530603,9,0.001,10.0
0.5,reference_k2,random_binary,hadamard_paired,0.9876885041885544,observed,0.002844505001881714,-12.583897890361465,9,0.001,10.0
0.5,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.010911108426393312,-8.279222923964735,9,0.001,10.0
0.5,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.04528314288578272,-2.9460156500068706,9,0.001,10.0
0.5,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.05162605052998259,0.023954567502212143,9,0.001,10.0
0.5,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.049028807013931086,-12.218084281056274,9,0.001,10.0
0.5,reference_k32,random_binary,hadamard_paired,,not_reached,-0.01634853485016663,-11.11195319439144,9,0.001,10.0
0.5,reference_k32,fourier_fourstep,hadamard_paired,1.9436794112035487,observed,0.011197914132285547,-6.599287266783733,9,0.001,10.0
0.5,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.01543978419231351,-2.7422243672703495,9,0.001,10.0
0.5,reference_k32,srht_paired,hadamard_paired,0.013658377339342949,observed,0.0658530919865914,-0.08993799408431613,9,0.001,10.0
0.5,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.046139468812777196,-11.205191875276444,9,0.001,10.0
0.5,reference_k8,random_binary,hadamard_paired,,not_reached,-0.003602153752281012,-10.543880505398889,9,0.001,10.0
0.5,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.00044777032654863547,-6.795567410352735,9,0.001,10.0
0.5,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.023306518983179814,-2.8719183613265997,9,0.001,10.0
0.5,reference_k8,srht_paired,hadamard_paired,0.0012981946489576052,observed,0.07779955383679038,-0.005203649394481147,9,0.001,10.0
0.5,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.007287245974264778,-9.440485032091669,9,0.001,10.0
0.5,scgi_frozen,random_binary,hadamard_paired,2.105222457200244,observed,0.017530292095203848,-9.147954944992877,9,0.001,10.0
0.5,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.024324747252471468,-2.50646692343582,9,0.001,10.0
0.5,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.028247679585351904,-1.275306686095579,9,0.001,10.0
0.5,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.6776572207882552,0.04084193103083855,9,0.001,10.0
0.5,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.04710363767156167,-12.412547173652124,9,0.001,10.0
0.5,scgi_proxy,random_binary,hadamard_paired,2.7719298454270858,observed,0.006445353822918776,-11.322755796159905,9,0.001,10.0
0.5,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.007012135579117285,-5.952338112847549,9,0.001,10.0
0.5,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.029437651788068564,-2.6036745004245496,9,0.001,10.0
0.5,scgi_proxy,srht_paired,hadamard_paired,0.002745170868204766,observed,0.16710464189262808,-0.0582148681798067,9,0.001,10.0
