arm,pixel_perm,sign_flip,row_perm,object,family,K_eff,draw,num_frames,chunks,levene_p,levene_reject,ks_absdev_p,local_std_envelope_cv,running_mean_cv,walsh_flatness_ratio,walsh_S2
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,7,8192,8,0.043081569103822506,False,0.11594604307134228,0.5889999690387064,0.0005032513290643692,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,8,8192,8,0.038912729161713705,False,0.3846776733386625,0.7095141352543944,0.0005033803754486144,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,9,8192,8,0.26322415110939107,False,0.23100441666637422,0.5824648610756974,0.0005031109903939068,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,10,8192,8,0.06919060424400106,False,0.04682992839294507,0.687086133018547,0.0005010251770727336,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,11,8192,8,0.11173041152666124,False,0.35528493510324566,0.6819620268830278,0.0005033414927311242,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,12,8192,8,0.10636066947916364,False,0.4155294838847783,0.5963036171383508,0.000503293820656836,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,13,8192,8,0.7579917005849852,False,0.19162747608137745,0.5283692854930074,0.0005023579578846693,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,14,8192,8,0.3979483392965885,False,0.11594604307134228,0.5525470786670292,0.0005080793634988368,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,15,8192,8,0.15792540536209734,False,0.30102473544932307,0.5963837568560588,0.0005031878245063126,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,16,8192,8,0.23010453651849921,False,0.4155294838847783,0.5962702233696535,0.0005025690770708025,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,17,8192,8,0.351335379763077,False,0.15768020016074424,0.5714636585384448,0.000503217161167413,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,18,8192,8,0.08122622816955384,False,0.08375446455030607,0.6863794978342894,0.0005081704002805054,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,19,8192,8,0.20518809986434977,False,0.15768020016074424,0.5707200686965492,0.000738850561901927,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,20,8192,8,0.035817727011709904,False,0.3273936805515063,0.7397502860650198,0.0005086117307655513,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,21,8192,8,0.13717241431215388,False,0.08375446455030607,0.585506005402819,0.0005017318180762231,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,22,8192,8,0.14723468709733242,False,0.23100441666637422,0.6714275177981315,0.0005023148842155933,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,23,8192,8,0.6085463466115653,False,0.02493126690731387,0.5277905721152607,0.000503118964843452,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,24,8192,8,0.028459311957992128,False,0.021849118176147146,0.6053027810978852,0.0005033542402088642,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,25,8192,8,0.01859018523583123,False,0.5160126480775404,0.7447503126907529,0.0005032331100665033,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,26,8192,8,0.13516528312809498,False,0.021849118176147146,0.6105950395610603,0.00044957236968912184,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,27,8192,8,0.015419599456364144,False,0.05281103310910518,0.7518189822996639,0.0005023079575039446,0.9997825829661462,916.4386222462547
