config_id,config_index,global_config_index,init_seed,object,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss
cfg0030,30,30,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.1,2.6801555156707764,6.8997483253479,0.028757836669683456,0.004685729742050171,0.9740339702575446,5.151325702667236,0.0003142378991469741
cfg0031,31,31,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.12,2.6952579021453857,6.880118370056152,0.027561267837882042,0.004685729742050171,0.9740339702575446,4.871192455291748,0.0003241705126129091
cfg0032,32,32,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.06,1.0171129703521729,1.36037015914917,0.01952003687620163,0.004685729742050171,0.9740339702575446,5.202338695526123,0.06124845892190933
cfg0033,33,33,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.08,1.439306378364563,1.3559222221374512,0.00972788780927658,0.004685729742050171,0.9740339702575446,5.158898830413818,0.061424918472766876
cfg0034,34,34,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.1,1.6183478832244873,1.568213701248169,0.006693098694086075,0.004685729742050171,0.9740339702575446,4.344691753387451,0.05554642528295517
cfg0035,35,35,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.12,1.5369184017181396,1.6119061708450317,0.0030709970742464066,0.004685729742050171,0.9740339702575446,3.9672038555145264,0.05390210449695587
cfg0036,36,36,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.06,2.3940463066101074,8.303067207336426,0.04639767110347748,0.004685729742050171,0.9740339702575446,6.319156169891357,0.0031053232960402966
cfg0037,37,37,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.08,1.6575300693511963,7.005553245544434,0.007851561531424522,0.004685729742050171,0.9740339702575446,6.228094577789307,0.0008124375017359853
cfg0038,38,38,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.1,1.4964410066604614,7.260259628295898,-0.00018775812350213528,0.004685729742050171,0.9740339702575446,5.502892971038818,0.0009053476969711483
cfg0039,39,39,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.12,1.6795973777770996,7.649545192718506,0.01978081837296486,0.004685729742050171,0.9740339702575446,4.781780242919922,0.0013566456036642194
