object,family,K_eff,basis,requested_basis,arm_kind,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w,theory_floor,err_over_floor
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,4,1024,0.0,717355328.0,0.909098084077107,1.286496666524969e+17,358677664.0,2.5345823710871136e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,8,1024,0.0,717355328.0,0.9169958346435804,6.432483332624845e+16,253623408.47455,3.615580439356791e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,16,1024,0.0,717355328.0,0.949935625568912,3.2162416663124224e+16,179338832.0,5.296876392999549e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,32,1024,0.0,717355328.0,0.9791667339051408,1.6081208331562112e+16,126811704.237275,7.721422401776417e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,64,1024,0.0,717355328.0,0.9801439208320224,8040604165781056.0,89669416.0,1.0930637942729797e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,128,1024,0.0,717355328.0,0.973791788309934,4020302082890528.0,63405852.1186375,1.5358074306578048e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,256,1024,0.0,717355328.0,0.9504248899879078,2010151041445264.0,44834708.0,2.11984181984169e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,512,1024,0.0,717355328.0,0.8937260328044729,1005075520722632.0,31702926.05931875,2.819064811658832e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,4,1024,0.0,717355328.0,0.9085554990784972,1.286496666524969e+17,358677664.0,2.5330696340168457e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,8,1024,0.0,717355328.0,0.9171354702068004,6.432483332624845e+16,253623408.47455,3.616131001956907e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,16,1024,0.0,717355328.0,0.9502627999150352,3.2162416663124224e+16,179338832.0,5.298700729326904e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,32,1024,0.0,717355328.0,0.9789981329470513,1.6081208331562112e+16,126811704.237275,7.720092863946266e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,64,1024,0.0,717355328.0,0.9807656439597312,8040604165781056.0,89669416.0,1.093757144531566e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,128,1024,0.0,717355328.0,0.9750616660795415,4020302082890528.0,63405852.1186375,1.5378102075737772e-08
