sigma_a,rho,seed,object,rel_mse_raw
0.05,0.3,3,5,0.49345122179988427
0.05,0.3,3,6,0.48462120854417445
0.05,0.3,3,7,0.5267528662882983
0.05,0.3,3,8,0.5043874806184346
0.05,0.3,3,9,0.5066149332919692
0.05,0.3,4,0,0.4923019833517614
0.05,0.3,4,1,0.49802486887765274
0.05,0.3,4,2,0.4785693366571381
0.05,0.3,4,3,0.5095086509581715
0.05,0.3,4,4,0.5442037959058527
0.05,0.3,4,5,0.49345120167313583
0.05,0.3,4,6,0.4846212178494357
0.05,0.3,4,7,0.5267528824112375
0.05,0.3,4,8,0.5043874435422281
0.05,0.3,4,9,0.5066149173509811
0.05,1.0,0,0,0.492302007683069
0.05,1.0,0,1,0.4980248574233658
0.05,1.0,0,2,0.47856936714851617
0.05,1.0,0,3,0.509508661401418
0.05,1.0,0,4,0.5442038060206859
0.05,1.0,0,5,0.49345122880585524
0.05,1.0,0,6,0.4846212478910367
0.05,1.0,0,7,0.5267528636171227
0.05,1.0,0,8,0.5043874555416631
0.05,1.0,0,9,0.5066149517275654
0.05,1.0,1,0,0.49230200834384347
0.05,1.0,1,1,0.49802487602961526
0.05,1.0,1,2,0.47856936413874923
0.05,1.0,1,3,0.5095086594286786
0.05,1.0,1,4,0.5442037835071839
0.05,1.0,1,5,0.4934511997798992
0.05,1.0,1,6,0.48462123146269365
0.05,1.0,1,7,0.5267528689179692
0.05,1.0,1,8,0.5043874783676721
0.05,1.0,1,9,0.5066149698354584
0.05,1.0,2,0,0.4923020094156248
0.05,1.0,2,1,0.4980248996849433
0.05,1.0,2,2,0.47856933540648333
0.05,1.0,2,3,0.5095086407904829
0.05,1.0,2,4,0.5442037696407389
0.05,1.0,2,5,0.49345121817289356
0.05,1.0,2,6,0.4846212655165642
0.05,1.0,2,7,0.5267528557186818
0.05,1.0,2,8,0.5043874859167914
0.05,1.0,2,9,0.5066149442991141
0.05,1.0,3,0,0.49230200226975535
0.05,1.0,3,1,0.4980248847667752
0.05,1.0,3,2,0.4785693426287565
0.05,1.0,3,3,0.5095086547245976
