correction,sigma_a,rho,seed,object,q_delta_raw,m_delta,var_delta_scalar,gain_rel_mse_aligned,qdelta_over_aligned,delta_lag1_corr,raw_rel_mse_total,projected_gain_energy,clean_floor_raw,clean_floor_gain_cross,raw_identity_sum,raw_identity_abs_error,scalar_qdelta_proxy,xi_present,delta_xi_cross
scgi_proxy,0.5,0.003,1,5,0.01532059624564847,-0.0033578337892946663,0.015309321197891943,0.016587048768997192,0.9236481099810928,0.9511935524671006,7.88342774607076,7.458696283164169,0.49345120782500074,-0.0687196803909898,7.883427810598181,6.452742074003481e-08,7.58911868511535,False,0.0
agc,0.5,0.003,1,6,0.015421379658979844,-0.0029368146680744224,0.015412754778585228,0.016734911128878593,0.9215095043061176,0.9514918712472609,8.596548571725128,8.020663443933945,0.4846212373521136,0.09126448057396984,8.596549161860029,5.90134900946282e-07,8.066845098215666,False,0.0
scgi_proxy,0.5,0.003,1,6,0.015316771065573,-0.003436777809437545,0.015304959623861556,0.016577912494540215,0.9239264033163066,0.9512162036530922,8.485527279707135,7.912803434893801,0.4846212373521136,0.08810236541611786,8.485527037662033,2.420451021833969e-07,8.012124876185215,False,0.0
agc,0.5,0.003,1,7,0.015371296747049215,-0.002676246260218841,0.015364134453003879,0.016692189499735832,0.920867615796746,0.9512597281824201,9.796938577024225,9.216933930525965,0.526752882227022,0.05325478384299765,9.796941596595985,3.019571760631834e-06,9.256051525854648,False,0.0
scgi_proxy,0.5,0.003,1,7,0.015261455531476708,-0.003115458765620147,0.015251749448156427,0.01653447188436985,0.9230083451231041,0.9509842199375524,9.641283988095415,9.082312083339238,0.526752882227022,0.032218876075146036,9.641283841641405,1.464540098083944e-07,9.189909028722987,False,0.0
agc,0.5,0.003,1,8,0.015381770954158054,-0.002732560750882753,0.01537430406590079,0.016696203500032425,0.9212735670194833,0.9513216666074886,9.259364491269698,8.637484443728846,0.5043874577514778,0.11749212906996043,9.259364030550284,4.607194146188931e-07,8.683525531726403,False,0.0
scgi_proxy,0.5,0.003,1,8,0.015310479614748958,-0.003190869999423273,0.015300297963395739,0.016582338139414787,0.9233004107157403,0.9511411827892433,9.156742571758588,8.536644971240484,0.5043874577514778,0.11571061714023784,9.156743046132199,4.743736106149754e-07,8.643279179872977,False,0.0
agc,0.5,0.003,1,9,0.01534327452430681,-0.002972169379280195,0.015334440733487678,0.0166664719581604,0.920607226461884,0.9511991613311173,7.750271317840469,7.004523612337014,0.5066149518944131,0.23913293208645092,7.750271496317878,1.7847740885201802e-07,7.043240014700151,False,0.0
scgi_proxy,0.5,0.003,1,9,0.015237877132876925,-0.0034609923872006097,0.015225898664572664,0.01650424115359783,0.9232703879605609,0.9509237090976795,7.64533046150021,6.914087874068697,0.5066149518944131,0.22462726146282963,7.64533008742594,3.740742702262878e-07,6.994857961469729,False,0.0
agc,0.5,0.003,2,0,0.016692888338721876,-0.008821157553113941,0.01661507551814502,0.015275072306394577,1.0928189408133775,0.9537489677646623,6.56925410223041,5.970215785394753,0.4923020115030484,0.10673622858128692,6.569254025479089,7.675132085438463e-08,6.443588672372595,False,0.0
